"","Nome","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"1","Andrey (MEI)","Vasco","7,27",2,"12,65","16,90","2,45",9,1,1,NA,6,1,1,NA,NA,NA,NA,NA,1,NA,NA,6,NA,4
"2","Rafael (GOL)","Cruzeiro","7,71",1,"10,50","0,00","0,00",NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"3","Gustavo Blanco (MEI)","Atlético-MG","20,35",8,"10,39","9,40","-0,63",43,NA,4,NA,3,4,7,2,NA,NA,NA,NA,3,NA,NA,19,1,15
"4","Lucas Paquetá (MEI)","Flamengo","23,32",8,"10,04","10,70","-0,03",29,3,1,NA,25,6,8,NA,NA,NA,NA,NA,2,NA,NA,14,NA,27
"5","Arrascaeta (MEI)","Cruzeiro","17,70",5,"9,82","0,00","0,00",13,1,2,NA,12,6,7,1,NA,NA,NA,NA,1,NA,NA,10,NA,12
"6","Trauco (LAT)","Flamengo","7,34",2,"9,75","0,00","0,00",4,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4
"7","Róger Guedes (ATA)","Atlético-MG","16,64",9,"9,73","17,60","2,59",7,6,1,NA,32,10,10,1,NA,NA,NA,NA,1,NA,NA,11,1,23
"8","Leonardo (LAT)","Grêmio","3,59",1,"9,70","9,70","1,59",3,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"9","Arthur (MEI)","Grêmio","16,80",4,"9,22","0,00","0,00",11,1,1,NA,17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3
"10","Anselmo (MEI)","Sport","15,84",8,"9,15","0,00","0,00",37,2,1,NA,14,4,1,1,NA,NA,NA,NA,2,NA,NA,19,NA,14
"11","Thiago Carleto (LAT)","Atlético-PR","19,34",9,"9,12","9,80","-0,40",13,2,3,4,12,7,11,1,NA,NA,NA,NA,2,NA,NA,6,NA,31
"12","Yago Pikachu (LAT)","Vasco","17,32",8,"8,58","10,60","-0,37",8,3,1,1,26,6,9,1,NA,NA,NA,NA,NA,NA,NA,4,2,20
"13","Pedro Geromel (ZAG)","Grêmio","17,65",3,"8,57","0,00","0,00",12,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,2
"14","Thuler (ZAG)","Flamengo","4,36",2,"8,20","0,00","0,00",6,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,3
"15","Everton (ATA)","Grêmio","14,66",7,"8,12","-0,60","-1,57",12,1,3,NA,15,13,5,1,NA,NA,NA,NA,2,NA,NA,6,1,12
"16","Dedé (ZAG)","Cruzeiro","11,39",7,"8,06","6,20","-0,01",14,2,NA,5,4,3,2,NA,NA,NA,NA,NA,3,NA,NA,8,NA,8
"17","Gatito Fernández (GOL)","Botafogo","14,65",2,"8,05","0,00","0,00",NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,2,NA,NA,3
"18","Paolo Guerrero (ATA)","Flamengo","13,78",2,"8,05","0,00","0,00",NA,1,1,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
"19","Pedro (ATA)","Fluminense","14,04",8,"7,86","0,00","0,00",4,5,2,NA,21,4,5,NA,NA,NA,NA,NA,1,NA,NA,15,NA,11
"20","Víctor Cuesta (ZAG)","Internacional","17,55",8,"7,68","10,90","0,76",32,NA,1,5,7,1,NA,NA,NA,NA,NA,NA,4,NA,NA,14,1,18
"21","Rodriguinho (MEI)","Corinthians","21,66",6,"7,63","3,50","0,50",5,4,1,NA,15,3,1,NA,NA,NA,NA,NA,NA,NA,NA,12,1,11
"22","Neilton (ATA)","Vitória","13,74",8,"7,54","14,10","1,85",14,3,3,NA,19,6,1,NA,NA,NA,NA,NA,1,NA,NA,7,2,29
"23","Renê (LAT)","Flamengo","12,37",8,"7,49","4,40","-1,34",21,NA,2,6,7,1,1,NA,NA,NA,NA,NA,1,NA,NA,10,1,32
"24","Gilberto  (LAT)","Fluminense","9,37",7,"7,26","0,00","0,00",15,1,2,3,12,3,1,NA,NA,NA,NA,1,NA,NA,NA,8,1,16
"25","Fábio (GOL)","Cruzeiro","12,69",8,"7,18","8,00","0,45",NA,NA,NA,5,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,3,NA,NA,2
"26","Kannemann (ZAG)","Grêmio","13,28",7,"7,16","11,70","1,58",18,NA,NA,6,9,2,1,NA,NA,NA,NA,1,2,NA,NA,8,NA,4
"27","Egídio (LAT)","Cruzeiro","10,52",6,"7,15","5,90","-0,11",17,NA,NA,5,6,2,NA,NA,NA,NA,NA,NA,1,NA,NA,10,2,14
"28","Diego Souza (MEI)","São Paulo","11,88",6,"7,13","1,20","-2,11",2,4,1,NA,10,5,2,NA,NA,NA,NA,NA,NA,NA,NA,7,3,12
"29","Diego Alves (GOL)","Flamengo","12,27",7,"7,12","4,70","-1,08",NA,NA,NA,5,1,NA,NA,NA,11,NA,NA,NA,NA,NA,3,NA,NA,9
"30","Thiago Rodrigues (GOL)","Paraná","6,65",4,"7,05","4,00","0,08",NA,NA,NA,2,1,NA,NA,NA,5,1,NA,NA,NA,NA,2,NA,NA,1
"31","Serginho (MEI)","América-MG","20,43",9,"7,02","19,50","3,71",10,4,2,NA,11,8,6,NA,NA,NA,NA,NA,NA,NA,NA,11,1,23
"32","Zé Rafael  (MEI)","Bahia","17,79",9,"7,01","3,80","-0,31",18,1,NA,NA,33,11,10,3,NA,NA,NA,NA,2,NA,NA,17,NA,19
"33","Durval (ZAG)","Sport","5,99",1,"7,00","7,00","-0,01",1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Júnior (LAT)","Paraná","6,19",5,"6,96","6,40","0,40",14,NA,NA,2,13,1,1,NA,NA,NA,NA,NA,1,NA,NA,3,NA,4
"35","Edson (MEI)","Bahia","7,04",2,"6,95","5,70","-0,10",9,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2
"36","Patrick (MEI)","Internacional","16,13",9,"6,83","2,90","-1,09",30,2,1,NA,11,5,4,NA,NA,NA,NA,NA,2,NA,NA,17,NA,21
"37","Clayson (ATA)","Corinthians","11,94",3,"6,83","0,00","0,00",6,1,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,6
