"","Nome","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"1","Andrey (MEI)","Vasco","9,76",8,"10,24","14,70","1,62",33,3,1,NA,10,11,4,NA,NA,NA,NA,NA,1,NA,NA,18,NA,14
"2","Gilberto (ATA)","Bahia","12,66",3,"9,83","8,90","0,38",2,3,NA,NA,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4
"3","Marcelo Cirino (ATA)","Atlético-PR","7,22",1,"9,70","9,70","1,22",1,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2
"4","Arrascaeta (MEI)","Cruzeiro","17,25",9,"9,15","4,20","0,45",17,3,3,NA,20,11,9,1,NA,NA,NA,NA,1,NA,NA,10,1,24
"5","Yago Pikachu (LAT)","Vasco","19,21",14,"8,69","14,80","1,08",13,6,1,2,48,11,17,1,NA,NA,NA,NA,1,NA,NA,5,6,32
"6","Lucas Paquetá (MEI)","Flamengo","22,95",14,"8,22","12,60","1,64",38,5,1,NA,33,10,14,1,NA,NA,NA,NA,3,NA,NA,23,NA,46
"7","Víctor Cuesta (ZAG)","Internacional","19,06",14,"8,16","12,50","1,52",52,2,1,7,13,1,NA,NA,NA,NA,NA,NA,5,NA,NA,18,1,25
"8","Ángel Romero (ATA)","Corinthians","14,22",10,"8,01","23,90","1,89",13,6,2,NA,41,9,2,NA,NA,NA,NA,NA,5,NA,NA,15,1,32
"9","Zé Rafael  (MEI)","Bahia","20,72",14,"7,88","0,00","0,00",37,2,1,NA,48,16,15,3,NA,NA,NA,NA,3,NA,NA,27,1,33
"10","Pedro (ATA)","Fluminense","15,39",14,"7,77","4,50","0,54",7,9,2,NA,31,15,9,NA,NA,NA,NA,NA,1,NA,NA,23,2,25
"11","Patrick (MEI)","Internacional","17,36",14,"7,73","5,00","-0,86",54,3,2,NA,19,7,6,NA,NA,NA,NA,NA,3,NA,NA,24,NA,37
"12","Wesley Carvalho (TEC)","Palmeiras","12,08",1,"7,60","7,60","0,76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Emerson Santos (ZAG)","Internacional","3,65",1,"7,20","7,20","0,65",1,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"14","Chará (ATA)","Atlético-MG","12,04",4,"7,03","12,80","2,45",6,1,2,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,8
"15","Juninho Quixadá (ATA)","Ceará","4,41",1,"7,00","7,00","1,41",1,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,1
"16","Leandro Carvalho (ATA)","Ceará","6,26",2,"6,95","8,40","0,40",2,1,NA,NA,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2
"17","Bruno Henrique (MEI)","Palmeiras","13,54",14,"6,94","16,80","2,33",39,5,2,NA,25,8,1,1,NA,NA,NA,NA,3,NA,NA,38,NA,32
"18","Ricardo Oliveira (ATA)","Atlético-MG","11,91",15,"6,63","7,10","1,32",8,7,5,NA,17,14,13,NA,NA,NA,NA,NA,2,NA,NA,25,9,26
"19","Renê (LAT)","Flamengo","13,27",15,"6,55","4,50","0,45",40,NA,2,9,15,2,3,NA,NA,NA,NA,NA,2,NA,NA,16,1,56
"20","Willian (ATA)","Palmeiras","12,66",15,"6,52","9,20","0,92",14,7,2,NA,17,9,9,3,NA,NA,NA,NA,2,NA,NA,30,6,9
"21","Éder Militão (LAT)","São Paulo","13,26",11,"6,35","0,00","0,00",29,1,1,5,14,8,2,NA,NA,NA,NA,NA,5,NA,NA,19,NA,26
"22","Réver (ZAG)","Flamengo","16,23",9,"6,34","9,50","0,49",7,2,NA,4,11,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3
"23","Dedé (ZAG)","Cruzeiro","12,15",13,"6,34","8,90","0,55",29,2,NA,5,15,5,5,NA,NA,NA,NA,NA,3,NA,NA,14,1,20
"24","Júnior (LAT)","Paraná","6,99",12,"6,29","-0,60","-1,11",34,NA,1,4,26,3,2,NA,NA,NA,NA,NA,2,NA,NA,16,NA,21
"25","Matheus Fernandes (MEI)","Botafogo","14,86",14,"6,29","6,10","0,36",58,NA,1,NA,20,8,3,1,NA,NA,NA,NA,4,NA,NA,17,1,33
"26","Reinaldo (LAT)","São Paulo","12,46",11,"6,05","12,10","1,93",18,2,1,5,11,9,5,NA,NA,NA,NA,NA,2,NA,NA,20,1,36
"27","Maurício Barbieri (TEC)","Flamengo","14,39",16,"5,63","7,05","0,67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Rodrygo (ATA)","Santos","12,35",13,"5,57","5,80","0,07",7,5,3,NA,26,7,6,1,NA,NA,NA,NA,1,NA,NA,16,1,38
"29","Moisés (LAT)","Botafogo","8,02",10,"5,49","2,70","-1,11",29,NA,NA,3,15,3,3,NA,NA,NA,NA,NA,1,NA,NA,17,NA,22
"30","Rodinei (LAT)","Flamengo","12,66",16,"5,43","0,40","-0,20",17,NA,2,9,24,4,4,NA,NA,NA,NA,NA,2,NA,NA,7,1,19
"31","Diego Alves (GOL)","Flamengo","11,65",14,"5,38","-1,50","-0,65",NA,NA,NA,8,4,NA,NA,NA,18,NA,NA,NA,1,NA,7,NA,NA,16
"32","Egídio (LAT)","Cruzeiro","10,00",11,"5,38","2,00","0,24",32,NA,NA,5,11,5,NA,NA,NA,NA,NA,NA,1,NA,NA,16,5,36
"33","Luan (ATA)","Atlético-MG","14,51",15,"5,38","3,00","-1,16",45,2,2,NA,11,9,4,NA,NA,NA,NA,NA,3,NA,NA,23,2,39
"34","Richard (MEI)","Fluminense","16,48",15,"5,35","7,10","0,90",50,1,1,NA,25,3,4,NA,NA,NA,NA,NA,3,NA,NA,20,NA,38
"35","Paulo Miranda (ZAG)","Grêmio","6,75",4,"5,33","0,00","-1,62",8,NA,NA,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,11
"36","Nico López (ATA)","Internacional","16,38",13,"5,30","14,70","1,96",10,4,2,NA,8,6,12,3,NA,NA,NA,NA,2,NA,NA,11,3,31
"37","Cássio (GOL)","Corinthians","10,21",9,"5,28","1,00","-1,98",NA,NA,NA,4,NA,NA,NA,NA,15,NA,NA,NA,1,NA,7,NA,NA,5
"38","Nenê (MEI)","São Paulo","9,77",15,"5,27","-0,50","-0,78",11,6,2,NA,35,11,5,2,NA,NA,NA,NA,5,NA,NA,15,2,51
"39","Neilton (ATA)","Vitória","11,05",14,"5,24","-2,20","-0,86",20,4,3,NA,32,12,4,NA,NA,NA,NA,NA,4,NA,NA,19,3,50
"40","Diego Souza (MEI)","São Paulo","12,29",12,"5,24","6,20","-0,35",3,6,1,NA,20,8,5,1,NA,NA,NA,NA,NA,NA,NA,19,6,25
"41","Everton (MEI)","São Paulo","11,59",13,"5,23","6,10","0,97",9,5,4,NA,31,5,4,NA,NA,NA,NA,NA,3,NA,NA,16,8,39
"42","Thiago Rodrigues (GOL)","Paraná","7,57",11,"5,23","2,40","0,88",NA,NA,NA,4,1,NA,NA,NA,18,1,NA,NA,NA,NA,11,1,NA,5
"43","Joao Rojas (ATA)","São Paulo","8,46",4,"5,13","8,60","1,94",7,NA,2,NA,6,2,1,NA,NA,NA,NA,NA,1,NA,NA,2,2,6
"44","Odair Hellmann (TEC)","Internacional","12,46",15,"5,10","9,79","1,11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Diego Aguirre (TEC)","São Paulo","12,69",15,"5,09","8,07","0,89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Uribe (ATA)","Flamengo","9,76",4,"5,05","17,10","4,21",3,1,1,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5
"47","Oswaldo Henríquez (ZAG)","Vasco","5,58",1,"5,00","0,00","0,00",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Gabriel (ATA)","Santos","13,49",15,"4,98","4,00","-0,56",12,5,1,NA,26,24,6,NA,NA,NA,NA,NA,1,NA,NA,16,10,42
"49","Gabriel (MEI)","Corinthians","12,81",14,"4,93","7,90","0,72",53,1,NA,NA,21,4,1,NA,NA,NA,NA,NA,5,NA,NA,30,NA,28
"50","Cardona (MEI)","Ceará","3,62",1,"4,90","4,90","0,62",6,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,4,NA,6
"51","Andrey (MEI)","América-MG","9,76",8,"10,24","14,70","1,62",33,3,1,NA,10,11,4,NA,NA,NA,NA,NA,1,NA,NA,18,NA,14
"52","Gilberto (ATA)","Botafogo","12,66",3,"9,83","8,90","0,38",2,3,NA,NA,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4
"53","Marcelo Cirino (ATA)","Internacional","7,22",1,"9,70","9,70","1,22",1,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2
"54","Arrascaeta (MEI)","Flamengo","17,25",9,"9,15","4,20","0,45",17,3,3,NA,20,11,9,1,NA,NA,NA,NA,1,NA,NA,10,1,24
"55","Yago Pikachu (LAT)","São Paulo","19,21",14,"8,69","14,80","1,08",13,6,1,2,48,11,17,1,NA,NA,NA,NA,1,NA,NA,5,6,32
"56","Lucas Paquetá (MEI)","Cruzeiro","22,95",14,"8,22","12,60","1,64",38,5,1,NA,33,10,14,1,NA,NA,NA,NA,3,NA,NA,23,NA,46
"57","Víctor Cuesta (ZAG)","Ceará","19,06",14,"8,16","12,50","1,52",52,2,1,7,13,1,NA,NA,NA,NA,NA,NA,5,NA,NA,18,1,25
