"","Nome","Posição","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"1","Osman","ATA","Chapecoense","5,24",1,"10,80","10,80","1,24",2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4
"2","Pedro Geromel","ZAG","Grêmio","18,08",4,"10,65","16,90","0,43",20,0,0,3,1,1,0,0,0,0,0,0,1,0,0,1,0,4
"3","Arrascaeta","MEI","Cruzeiro","18,78",6,"10,63","14,70","1,08",14,2,3,0,13,7,7,1,0,0,0,0,1,0,0,10,1,14
"4","Rafael","GOL","Cruzeiro","7,71",1,"10,50","0,00","0,00",0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0
"5","Andrey","MEI","Vasco","7,14",6,"10,07","1,40","-1,49",21,3,1,0,10,6,3,0,0,0,0,0,1,0,0,17,0,10
"6","Gustavo Blanco","MEI","Atlético-MG","19,53",11,"8,86","0,00","0,00",51,0,4,0,4,5,10,3,0,0,0,0,4,0,0,20,1,25
"7","Joao Rojas","ATA","São Paulo","7,08",1,"8,70","8,70","3,08",2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1
"8","Ronaldo","GOL","Vitória","4,03",1,"8,50","0,00","0,00",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"9","Víctor Cuesta","ZAG","Internacional","17,66",11,"8,45","3,20","-0,76",43,2,1,5,8,1,0,0,0,0,0,0,4,0,0,15,1,21
"10","Yago Pikachu","LAT","Vasco","17,00",12,"8,21","1,20","-0,40",12,5,1,1,37,8,14,1,0,0,0,0,0,0,0,5,6,29
"11","Kannemann","ZAG","Grêmio","14,18",9,"8,21","0,00","0,00",30,0,0,7,15,2,1,0,0,0,0,1,2,0,0,10,0,8
"12","Lucas Paquetá","MEI","Flamengo","22,28",11,"8,13","8,30","1,56",33,3,1,0,30,6,11,1,0,0,0,0,3,0,0,16,0,37
"13","Gatito Fernández","GOL","Botafogo","14,65",2,"8,05","0,00","0,00",0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,3
"14","Gilberto","ATA","Bahia","9,02",1,"7,90","7,90","2,02",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1
"15","Ricardo Oliveira","ATA","Atlético-MG","11,22",12,"7,76","0,20","-1,42",7,6,5,0,14,13,12,0,0,0,0,0,2,0,0,17,8,19
"16","Pedro","ATA","Fluminense","15,60",11,"7,75","8,60","1,49",6,7,2,0,28,7,7,0,0,0,0,0,1,0,0,20,0,19
"17","Thuler","ZAG","Flamengo","5,26",5,"7,72","0,00","0,00",9,1,0,4,2,1,0,0,0,0,0,0,1,0,0,3,0,4
"18","Evandro","LAT","Sport","3,86",1,"7,70","0,00","0,00",2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
