"","Nome","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"1","Marcelo Lomba (GOL)","Internacional","9,40",4,"9,90","13,70","0,43",0,0,0,3,1,0,0,0,9,0,0,0,0,0,1,0,0,3
"2","Gustavo Blanco (MEI)","Atlético-MG","19,53",11,"8,86","0,00","0,00",51,0,4,0,4,5,10,3,0,0,0,0,4,0,0,20,1,25
"3","Yago Pikachu (LAT)","Vasco","17,85",16,"8,54","2,80","-1,57",14,7,1,2,56,12,20,1,0,0,0,0,1,0,0,7,7,37
"4","Andrey (MEI)","Vasco","7,70",10,"8,50","0,30","-0,49",34,3,1,0,15,15,4,0,0,0,0,0,2,0,0,21,0,16
"5","Pedro Geromel (ZAG)","Grêmio","16,04",6,"8,48","0,00","0,00",25,0,0,3,3,3,0,0,0,0,0,0,1,0,0,4,0,5
"6","Gilberto (ATA)","Bahia","13,29",5,"8,06","9,30","1,63",2,4,0,0,10,3,1,0,0,0,0,0,0,0,0,3,0,6
"7","Gatito Fernández (GOL)","Botafogo","14,65",2,"8,05","0,00","0,00",0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,3
"8","Everton (ATA)","Grêmio","16,60",13,"8,00","6,60","-1,64",19,5,3,0,22,20,9,2,0,0,0,0,3,0,0,17,2,26
"9","Lucas Kal (ZAG)","São Paulo","5,17",1,"8,00","0,00","0,00",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Arrascaeta (MEI)","Cruzeiro","16,84",11,"7,93","1,70","-0,45",18,3,4,0,23,12,10,1,0,0,0,0,3,0,0,11,1,26
"11","Pedro (ATA)","Fluminense","15,95",16,"7,80","5,20","-0,88",11,10,2,0,35,16,10,0,0,0,0,0,1,0,0,24,2,30
"12","Kannemann (ZAG)","Grêmio","13,09",10,"7,73","0,00","0,00",34,0,0,7,18,2,1,0,0,0,0,1,3,0,0,13,0,10
"13","Gustavo Gómez (ZAG)","Palmeiras","8,92",1,"7,70","7,70","0,92",2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"14","Evandro (LAT)","Sport","3,86",1,"7,70","0,00","0,00",2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"15","Rafael (GOL)","Cruzeiro","6,53",3,"7,67","-0,50","-2,13",0,0,0,1,3,0,0,0,7,0,0,0,0,0,2,1,0,0
"16","Víctor Cuesta (ZAG)","Internacional","17,79",16,"7,67","3,10","-0,51",55,2,1,9,14,1,0,0,0,0,0,0,6,0,0,20,1,37
"17","Lucas Paquetá (MEI)","Flamengo","21,23",16,"7,49","1,60","-0,53",40,5,1,0,43,11,16,1,0,0,0,0,4,0,0,26,0,56
"18","Ángel Romero (ATA)","Corinthians","11,14",11,"7,45","0,00","0,00",14,6,2,0,43,9,3,0,0,0,0,0,5,0,0,15,1,38
"19","Zé Rafael  (MEI)","Bahia","18,92",16,"7,37","4,40","0,02",40,2,1,0,54,18,17,3,0,0,0,0,3,0,0,31,1,39
"20","Patrick (MEI)","Internacional","17,38",16,"7,35","4,10","-0,33",59,3,3,0,21,7,6,0,0,0,0,0,3,0,0,29,0,42
"21","Emerson Santos (ZAG)","Internacional","3,65",1,"7,20","0,00","0,00",1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3
"22","Thuler (ZAG)","Flamengo","4,91",6,"7,00","0,00","0,00",12,1,0,4,2,1,0,0,0,0,0,0,1,0,0,4,0,6
"23","Ricardo Oliveira (ATA)","Atlético-MG","14,11",17,"6,96","17,70","2,97",8,9,5,0,19,16,15,0,0,0,0,0,2,0,0,26,11,28
"24","Joao Rojas (ATA)","São Paulo","10,41",6,"6,80","8,30","0,11",12,1,3,0,7,4,1,0,0,0,0,0,1,0,0,6,2,7
"25","Durval (ZAG)","Sport","6,27",2,"6,75","0,00","0,00",2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Rodrigo Caio (ZAG)","São Paulo","12,76",2,"6,55","0,00","0,00",3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,3
"27","Willian (ATA)","Palmeiras","12,66",15,"6,52","0,00","0,00",14,7,2,0,17,9,9,3,0,0,0,0,2,0,0,30,6,9
"28","Gilberto  (LAT)","Fluminense","8,94",12,"6,51","2,10","0,23",26,3,2,4,16,5,2,0,0,0,0,1,3,0,0,16,1,33
"29","Nino Paraíba (LAT)","Bahia","13,40",10,"6,42","5,40","-0,83",29,0,1,4,14,3,3,0,0,0,0,0,2,0,0,11,0,26
"30","Dedé (ZAG)","Cruzeiro","12,15",13,"6,34","0,00","0,00",29,2,0,5,15,5,5,0,0,0,0,0,3,0,0,14,1,20
"31","Leonardo (LAT)","Grêmio","4,37",5,"6,34","8,80","-0,14",10,0,1,3,5,2,2,0,0,0,0,0,1,0,0,9,0,11
"32","Réver (ZAG)","Flamengo","15,85",10,"6,33","6,20","-0,38",9,2,0,5,12,5,2,0,0,0,0,0,0,0,0,5,0,4
"33","Nico López (ATA)","Internacional","18,52",15,"6,33","23,20","3,68",15,6,2,0,11,7,13,3,0,0,0,0,2,0,0,11,3,34
"34","Bruno Cortez (LAT)","Grêmio","15,59",14,"6,31","4,30","-0,15",28,0,0,12,19,0,1,0,0,0,0,0,1,0,0,23,0,36
"35","Diego Torres (MEI)","Chapecoense","5,98",1,"6,30","6,30","1,98",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,4
"36","Trauco (LAT)","Flamengo","6,45",4,"6,30","5,80","0,74",6,0,2,2,1,0,1,0,0,0,0,0,0,0,0,5,0,10
"37","Renê (LAT)","Flamengo","13,01",16,"6,26","0,00","0,00",44,0,2,9,16,2,3,0,0,0,0,0,3,0,0,20,1,58
"38","Walter (GOL)","Corinthians","8,96",7,"6,17","0,00","0,00",0,0,0,2,1,0,0,0,15,0,0,0,0,0,6,0,0,1
"39","Léo Moura (LAT)","Grêmio","11,66",9,"6,13","0,00","0,00",8,0,2,7,8,0,0,0,0,0,0,0,0,0,0,5,0,11
"40","Mateus (LAT)","Vitória","3,57",1,"6,10","0,00","0,00",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4
"41","Bruno Henrique (MEI)","Palmeiras","10,86",16,"6,08","-0,60","-0,41",40,5,2,0,26,10,1,1,0,0,0,0,3,0,0,42,0,37
"42","Júnior (LAT)","Paraná","7,95",14,"6,01","4,10","-0,03",42,0,1,4,26,3,2,0,0,0,0,0,2,0,0,19,0,27
"43","Marinho (ATA)","Grêmio","13,88",6,"6,00","9,80","-0,46",10,1,1,0,15,5,5,0,0,0,0,0,1,0,0,8,1,10
"44","Paulo Miranda (ZAG)","Grêmio","8,47",6,"5,90","8,40","0,61",11,0,0,4,7,2,0,0,0,0,0,0,0,0,0,4,0,14
"45","Rodrigo Moledo (ZAG)","Internacional","12,33",12,"5,84","6,10","0,29",22,1,0,7,11,4,1,0,0,0,0,0,2,0,0,13,1,16
"46","Yago (ZAG)","Botafogo","5,82",3,"5,83","0,00","0,00",5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"47","Reinaldo (LAT)","São Paulo","11,57",13,"5,71","4,80","0,28",23,2,1,5,12,12,5,0,0,0,0,0,2,0,0,23,1,40
"48","Marcos Rocha (LAT)","Palmeiras","12,25",14,"5,63","0,00","0,00",51,1,1,4,14,0,0,1,0,0,0,0,4,0,0,29,0,61
"49","Maílson (GOL)","Sport","5,20",4,"5,60","0,00","0,00",0,0,1,2,0,0,0,0,4,0,0,0,0,0,2,0,0,2
