"","Nome","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"1","Emerson Santos (ZAG)","Internacional","5,00",2,"10,10","0,00","0,00",5,NA,NA,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3
"2","Marcelo Lomba (GOL)","Internacional","8,99",6,"9,35","8,50","0,29",NA,NA,NA,5,2,NA,NA,NA,11,NA,NA,NA,NA,NA,1,NA,NA,3
"3","Gustavo Blanco (MEI)","Atlético-MG","19,53",11,"8,86","0,00","0,00",51,NA,4,NA,4,5,10,3,NA,NA,NA,NA,4,NA,NA,20,1,25
"4","Yago Pikachu (LAT)","Vasco","19,06",18,"8,52","10,80","0,89",20,7,1,3,60,15,20,1,NA,NA,NA,NA,1,NA,NA,9,7,39
"5","Andrey (MEI)","Vasco","8,31",11,"8,17","4,90","0,61",36,3,1,NA,17,16,5,NA,NA,NA,NA,NA,2,NA,NA,22,NA,18
"6","Pedro Geromel (ZAG)","Grêmio","15,53",8,"8,13","3,20","-1,21",32,NA,NA,4,3,3,NA,NA,NA,NA,NA,NA,1,NA,NA,6,NA,6
"7","Everton (ATA)","Grêmio","16,69",15,"8,10","6,40","-0,64",20,7,3,NA,26,21,11,2,NA,NA,NA,NA,4,NA,NA,18,2,35
"8","Gustavo Gómez (ZAG)","Palmeiras","10,06",2,"8,05","0,00","0,00",4,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3
"9","Gatito Fernández (GOL)","Botafogo","14,65",2,"8,05","0,00","0,00",NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,2,NA,NA,3
"10","Bruno Grassi (GOL)","Grêmio","4,52",1,"8,00","0,00","0,00",NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Lucas Kal (ZAG)","São Paulo","5,17",1,"8,00","0,00","0,00",2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Kannemann (ZAG)","Grêmio","12,97",12,"7,82","3,50","-1,41",42,NA,NA,8,19,2,1,NA,NA,NA,NA,1,3,NA,NA,14,1,10
"13","Arrascaeta (MEI)","Cruzeiro","17,04",12,"7,72","5,40","0,20",20,3,4,NA,25,13,11,1,NA,NA,NA,NA,3,NA,NA,11,1,28
"14","Evandro (LAT)","Sport","3,86",1,"7,70","0,00","0,00",2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"15","Rafael (GOL)","Cruzeiro","6,53",3,"7,67","0,00","0,00",NA,NA,NA,1,3,NA,NA,NA,7,NA,NA,NA,NA,NA,2,1,NA,NA
"16","Víctor Cuesta (ZAG)","Internacional","17,83",17,"7,55","5,70","0,04",56,2,1,10,14,2,NA,NA,NA,NA,NA,NA,6,NA,NA,22,1,39
"17","Patrick (MEI)","Internacional","18,54",18,"7,50","11,50","1,05",63,4,3,NA,25,8,8,NA,NA,NA,NA,NA,3,NA,NA,31,NA,45
"18","Pedro (ATA)","Fluminense","15,80",18,"7,48","5,20","0,11",13,10,2,NA,39,23,11,NA,NA,NA,NA,NA,1,NA,NA,26,3,32
"19","Walter (GOL)","Corinthians","10,11",8,"7,27","0,00","0,00",1,NA,NA,2,2,NA,NA,NA,20,NA,NA,NA,NA,NA,7,NA,NA,1
"20","Gilberto (ATA)","Bahia","13,07",7,"7,25","6,50","0,58",5,4,NA,NA,13,10,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,8
"21","Lucas Paquetá (MEI)","Flamengo","21,05",18,"7,05","3,40","-0,17",43,5,1,NA,49,13,18,1,NA,NA,NA,NA,4,NA,NA,33,NA,59
"22","Gilberto  (LAT)","Fluminense","10,47",14,"6,99","9,50","0,13",31,3,2,6,17,7,4,NA,NA,NA,NA,1,3,NA,NA,18,1,37
"23","Ricardo Oliveira (ATA)","Atlético-MG","12,47",19,"6,97","5,60","-0,35",8,9,6,NA,20,20,19,1,NA,NA,NA,NA,2,NA,NA,28,12,31
"24","Zé Rafael  (MEI)","Bahia","18,14",18,"6,78","2,30","-0,05",40,2,1,NA,64,21,18,3,NA,NA,NA,NA,3,NA,NA,35,2,46
"25","Durval (ZAG)","Sport","6,27",2,"6,75","0,00","0,00",2,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Vitinho (ATA)","Flamengo","15,47",4,"6,73","13,50","2,58",13,NA,NA,NA,8,2,7,1,NA,NA,NA,NA,1,NA,NA,7,1,12
"27","Leonardo (LAT)","Grêmio","4,59",6,"6,72","0,00","0,00",13,NA,1,4,5,2,2,NA,NA,NA,NA,NA,1,NA,NA,9,NA,14
"28","Luiz Felipe Scolari (TEC)","Palmeiras","13,49",4,"6,65","5,55","-0,33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Rodrigo Caio (ZAG)","São Paulo","12,76",2,"6,55","0,00","0,00",3,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3
"30","Willian (ATA)","Palmeiras","12,23",16,"6,54","6,90","-0,43",16,7,2,NA,22,10,10,3,NA,NA,NA,NA,2,NA,NA,30,6,11
"31","Réver (ZAG)","Flamengo","15,98",11,"6,50","8,20","0,13",11,2,NA,6,13,5,2,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5
"32","Nino Paraíba (LAT)","Bahia","13,40",10,"6,42","0,00","0,00",29,NA,1,4,14,3,3,NA,NA,NA,NA,NA,2,NA,NA,11,NA,26
