"","Nome","Posição","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"1","Lucas Paquetá","MEI","Flamengo","23,56",3,"13,30","18,70","3,66",12,1,1,0,13,3,4,0,0,0,0,0,0,0,0,3,0,11
"2","Serginho","MEI","América-MG","20,79",3,"12,13","14,90","3,13",5,2,2,0,4,4,2,0,0,0,0,0,0,0,0,3,1,9
"3","Otero","MEI","Atlético-MG","20,06",3,"11,87","7,80","0,23",5,1,0,0,10,5,6,3,0,0,0,0,0,0,0,4,2,7
"4","Gustavo Blanco","MEI","Atlético-MG","18,65",3,"11,73","13,10","2,57",15,0,2,0,1,0,3,2,0,0,0,0,1,0,0,8,1,3
"5","Wallyson","ATA","Vitória","9,20",1,"11,70","11,70","3,20",1,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,1,2
"6","Rodriguinho","MEI","Corinthians","24,02",3,"10,80","0,00","-3,57",2,3,1,0,7,2,0,0,0,0,0,0,0,0,0,4,0,9
"7","Rafael","GOL","Cruzeiro","7,71",1,"10,50","10,50","1,71",0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0
"8","Thiago Carleto","LAT","Atlético-PR","17,32",3,"10,37","10,70","1,74",3,1,1,2,4,1,2,1,0,0,0,0,0,0,0,2,0,12
"9","Víctor Cuesta","ZAG","Internacional","17,81",3,"10,10","14,50","3,24",17,0,0,2,3,0,0,0,0,0,0,0,1,0,0,7,0,4
"10","Vinicius Junior","ATA","Flamengo","16,53",3,"10,03","15,30","3,23",1,2,2,0,6,2,3,0,0,0,0,0,0,0,0,4,0,12
"11","Sidcley","LAT","Corinthians","13,89",3,"9,93","4,30","-1,26",8,1,1,1,4,0,0,0,0,0,0,0,0,0,0,2,0,4
"12","Nino Paraíba","LAT","Bahia","15,01",3,"9,87","13,10","2,66",11,0,0,2,9,2,2,0,0,0,0,0,1,0,0,2,0,8
"13","Matheus Fernandes","MEI","Botafogo","14,96",3,"9,37","10,30","1,65",13,0,1,0,1,2,1,1,0,0,0,0,0,0,0,3,0,4
"14","Bruno Alves","ZAG","São Paulo","12,23",2,"9,20","6,20","1,07",2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,2
"15","Bruno Cortez","LAT","Grêmio","15,48",2,"9,10","0,00","0,00",6,0,0,2,4,0,0,0,0,0,0,0,0,0,0,2,0,6
"16","Richard","MEI","Fluminense","17,09",3,"9,03","6,90","0,56",12,1,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,4
"17","Éder Militão","LAT","São Paulo","14,44",3,"8,83","11,50","2,10",8,1,0,2,2,2,0,0,0,0,0,0,1,0,0,4,0,7
"18","Jailson","GOL","Palmeiras","15,07",2,"8,55","0,00","0,00",0,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,3
"19","Santos","GOL","Atlético-PR","10,51",3,"8,47","16,70","4,23",0,0,0,2,0,0,0,0,6,0,0,0,0,0,1,0,0,2
"20","Réver","ZAG","Flamengo","17,78",3,"8,23","6,30","-0,24",1,1,0,2,5,3,1,0,0,0,0,0,0,0,0,0,0,3
"21","Rodrigo Moledo","ZAG","Internacional","10,68",2,"8,15","8,00","1,52",3,0,0,2,4,1,0,0,0,0,0,0,0,0,0,1,1,0
"22","Gatito Fernández","GOL","Botafogo","14,65",2,"8,05","0,00","0,00",0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,3
"23","Robinho","ATA","Fluminense","5,47",1,"8,00","8,00","1,47",0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
"24","Marcelo Grohe","GOL","Grêmio","18,65",2,"7,85","0,00","0,00",0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1
"25","Fabiano","LAT","Internacional","9,82",2,"7,85","9,30","1,97",5,0,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,7
"26","Gabriel","MEI","Corinthians","11,85",2,"7,80","5,10","-0,32",8,1,0,0,2,0,0,0,0,0,0,0,1,0,0,5,0,3
"27","Rodinei","LAT","Flamengo","11,84",3,"7,80","13,10","3,03",4,0,1,2,7,2,0,0,0,0,0,0,0,0,0,0,0,9
"28","Vanderlei","GOL","Santos","20,44",2,"7,75","0,00","0,00",0,0,0,1,1,0,0,0,4,0,0,0,0,0,1,0,0,0
"29","Thiago Heleno","ZAG","Atlético-PR","10,99",1,"7,70","0,00","0,00",2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"30","Murilo","ZAG","Cruzeiro","8,90",1,"7,70","7,70","-0,10",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"31","Guerra","MEI","Palmeiras","10,06",1,"7,60","0,00","0,00",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,4
"32","Luan","ATA","Atlético-MG","14,92",3,"7,50","6,80","0,60",17,0,0,0,1,2,2,0,0,0,0,0,0,0,0,8,1,10
"33","Balbuena","ZAG","Corinthians","17,67",3,"7,50","3,40","-1,59",13,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,10
"34","Ezequiel ","LAT","Cruzeiro","5,30",1,"7,50","7,50","1,30",4,0,0,1,3,0,0,0,0,0,0,0,1,0,0,3,0,5
"35","Renê","LAT","Flamengo","10,43",3,"7,50","10,80","2,28",10,0,0,2,2,1,0,0,0,0,0,0,0,0,0,2,0,11
"36","Everton","ATA","Grêmio","13,16",2,"7,50","0,00","0,00",2,0,1,0,2,4,3,0,0,0,0,0,0,0,0,1,0,1
