"","Nome","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"1","Andrey (MEI)","Vasco","7,62",3,"12,83","13,20","0,35",13,2,1,NA,7,1,1,NA,NA,NA,NA,NA,1,NA,NA,8,NA,5
"2","Luan (ZAG)","Palmeiras","6,24",1,"11,90","11,90","1,24",5,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2
"3","Rafael (GOL)","Cruzeiro","7,71",1,"10,50","0,00","0,00",NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"4","Gustavo Blanco (MEI)","Atlético-MG","20,12",9,"10,02","7,10","-0,23",46,NA,4,NA,3,5,9,2,NA,NA,NA,NA,3,NA,NA,19,1,17
"5","Róger Guedes (ATA)","Atlético-MG","16,33",10,"9,91","11,50","-0,31",8,6,3,NA,33,10,10,1,NA,NA,NA,NA,1,NA,NA,11,2,23
"6","Arrascaeta (MEI)","Cruzeiro","17,70",5,"9,82","0,00","0,00",13,1,2,NA,12,6,7,1,NA,NA,NA,NA,1,NA,NA,10,NA,12
"7","Trauco (LAT)","Flamengo","7,34",2,"9,75","0,00","0,00",4,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4
"8","Anselmo (MEI)","Sport","15,84",8,"9,15","0,00","0,00",37,2,1,NA,14,4,1,1,NA,NA,NA,NA,2,NA,NA,19,NA,14
"9","Thiago Rodrigues (GOL)","Paraná","9,53",5,"9,04","17,00","2,88",NA,NA,NA,3,1,NA,NA,NA,9,1,NA,NA,NA,NA,2,NA,NA,1
"10","Lucas Paquetá (MEI)","Flamengo","21,30",9,"8,90","-0,20","-2,02",30,3,1,NA,26,6,9,NA,NA,NA,NA,NA,3,NA,NA,15,NA,30
"11","Arthur (MEI)","Grêmio","16,16",5,"8,82","7,20","-0,64",12,1,1,NA,24,1,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,4
"12","Pedro Geromel (ZAG)","Grêmio","17,65",3,"8,57","0,00","0,00",12,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,2
"13","Ronaldo (GOL)","Vitória","4,03",1,"8,50","8,50","1,03",NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Thiago Carleto (LAT)","Atlético-PR","17,84",10,"8,33","1,20","-1,50",13,2,3,4,13,7,12,1,NA,NA,NA,NA,2,NA,NA,6,1,31
"15","Gatito Fernández (GOL)","Botafogo","14,65",2,"8,05","0,00","0,00",NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,2,NA,NA,3
"16","Paolo Guerrero (ATA)","Flamengo","13,78",2,"8,05","0,00","0,00",NA,1,1,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
"17","Dedé (ZAG)","Cruzeiro","11,96",8,"8,04","7,90","0,57",17,2,NA,5,6,4,4,NA,NA,NA,NA,NA,3,NA,NA,9,NA,9
"18","Kannemann (ZAG)","Grêmio","14,24",8,"7,95","13,50","0,96",26,NA,NA,6,13,2,1,NA,NA,NA,NA,1,2,NA,NA,9,NA,4
"19","Pedro (ATA)","Fluminense","14,04",8,"7,86","0,00","0,00",4,5,2,NA,21,4,5,NA,NA,NA,NA,NA,1,NA,NA,15,NA,11
"20","Willian (ATA)","Palmeiras","14,42",9,"7,80","25,80","2,76",7,6,NA,NA,8,4,6,3,NA,NA,NA,NA,1,NA,NA,16,1,4
"21","Yago Pikachu (LAT)","Vasco","15,71",9,"7,74","1,00","-1,61",9,3,1,1,28,6,10,1,NA,NA,NA,NA,NA,NA,NA,4,5,24
"22","Evandro (LAT)","Sport","3,86",1,"7,70","7,70","0,86",2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"23","Víctor Cuesta (ZAG)","Internacional","17,55",8,"7,68","0,00","0,00",32,NA,1,5,7,1,NA,NA,NA,NA,NA,NA,4,NA,NA,14,1,18
"24","Diego Alves (GOL)","Flamengo","13,60",8,"7,57","10,70","1,33",NA,NA,NA,6,1,NA,NA,NA,13,NA,NA,NA,NA,NA,3,NA,NA,10
"25","Neilton (ATA)","Vitória","13,10",9,"7,52","7,40","-0,64",16,4,3,NA,20,7,2,NA,NA,NA,NA,NA,2,NA,NA,10,3,36
"26","Rodriguinho (MEI)","Corinthians","21,96",7,"7,43","6,20","0,30",5,4,2,NA,16,3,3,NA,NA,NA,NA,NA,NA,NA,NA,12,2,15
"27","Everton (ATA)","Grêmio","14,88",8,"7,39","2,30","0,22",13,1,3,NA,16,14,6,1,NA,NA,NA,NA,2,NA,NA,7,1,16
"28","Zé Rafael  (MEI)","Bahia","19,00",10,"7,33","10,20","1,21",25,1,NA,NA,34,12,10,3,NA,NA,NA,NA,2,NA,NA,18,1,21
"29","Júnior (LAT)","Paraná","7,09",6,"7,30","9,00","0,90",16,NA,NA,3,16,1,1,NA,NA,NA,NA,NA,1,NA,NA,4,NA,4
"30","Renê (LAT)","Flamengo","12,64",9,"7,26","5,40","0,27",23,NA,2,7,7,1,2,NA,NA,NA,NA,NA,2,NA,NA,10,1,38
"31","Diego Souza (MEI)","São Paulo","11,88",6,"7,13","0,00","0,00",2,4,1,NA,10,5,2,NA,NA,NA,NA,NA,NA,NA,NA,7,3,12
"32","Thuler (ZAG)","Flamengo","3,99",3,"7,13","5,00","-0,37",6,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,3
"33","Ricardo Oliveira (ATA)","Atlético-MG","10,96",9,"6,95","9,80","0,16",5,5,2,NA,10,11,7,NA,NA,NA,NA,NA,2,NA,NA,11,7,14
"34","Edson (MEI)","Bahia","7,04",2,"6,95","0,00","0,00",9,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2
"35","Vinicius Junior (ATA)","Flamengo","16,73",10,"6,91","8,50","1,06",10,4,3,NA,20,5,9,NA,NA,NA,NA,NA,2,NA,NA,8,1,31
"36","Patrick (MEI)","Internacional","16,13",9,"6,83","0,00","0,00",30,2,1,NA,11,5,4,NA,NA,NA,NA,NA,2,NA,NA,17,NA,21
"37","Clayson (ATA)","Corinthians","11,94",3,"6,83","0,00","0,00",6,1,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,6
"38","Durval (ZAG)","Sport","6,27",2,"6,75","6,50","0,28",2,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Rodrigo Moledo (ZAG)","Internacional","12,84",8,"6,74","0,00","0,00",17,1,NA,5,8,4,1,NA,NA,NA,NA,NA,2,NA,NA,11,1,10
"40","Rodinei (LAT)","Flamengo","13,72",10,"6,69","8,20","0,22",14,NA,1,7,14,4,3,NA,NA,NA,NA,NA,1,NA,NA,2,1,15
"41","Rodrygo (ATA)","Santos","13,28",9,"6,68","9,60","-2,51",3,5,2,NA,19,4,6,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,26
"42","Rodrigo Caio (ZAG)","São Paulo","12,76",2,"6,55","0,00","0,00",3,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3
"43","Serginho (MEI)","América-MG","17,74",10,"6,51","1,90","-2,69",10,4,3,NA,13,8,6,NA,NA,NA,NA,NA,1,NA,NA,14,1,25
"44","Egídio (LAT)","Cruzeiro","10,03",7,"6,50","2,60","-0,49",19,NA,NA,5,7,3,NA,NA,NA,NA,NA,NA,1,NA,NA,11,2,18
"45","Leonardo (LAT)","Grêmio","2,90",2,"6,50","3,30","-0,69",5,NA,NA,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4
"46","Fábio (GOL)","Cruzeiro","11,55",9,"6,49","1,00","-1,14",NA,NA,NA,5,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,4,NA,NA,2
"47","Jailson (GOL)","Palmeiras","16,16",9,"6,47","11,00","1,69",NA,NA,NA,3,NA,NA,NA,NA,21,NA,NA,NA,1,NA,8,NA,NA,6
"48","João Pedro  (LAT)","Bahia","5,11",3,"6,40","0,00","0,00",7,NA,1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,15
"49","Gilberto  (LAT)","Fluminense","7,87",8,"6,37","0,10","-1,50",16,1,2,3,13,4,2,NA,NA,NA,NA,1,1,NA,NA,10,1,19
"50","Zeca (LAT)","Internacional","10,87",5,"6,36","0,00","0,00",10,NA,1,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,4,1,15
"51","Réver (ZAG)","Flamengo","16,24",5,"6,30","0,00","0,00",1,1,NA,3,7,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"52","Maurício Barbieri (TEC)","Flamengo","14,25",10,"6,30","8,10","0,57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Marcos Rocha (LAT)","Palmeiras","12,54",9,"6,24","6,40","0,43",29,1,1,4,9,NA,NA,1,NA,NA,NA,NA,3,NA,NA,19,NA,41
"54","Nino Paraíba (LAT)","Bahia","13,12",7,"6,16","5,20","0,63",22,NA,NA,2,13,3,2,NA,NA,NA,NA,NA,1,NA,NA,7,NA,19
"55","Sidcley (LAT)","Corinthians","14,15",9,"6,16","3,10","0,20",19,1,1,3,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,18
"56","Bruno Cortez (LAT)","Grêmio","14,83",9,"6,13","1,90","-0,59",20,NA,NA,7,14,NA,1,NA,NA,NA,NA,NA,1,NA,NA,17,NA,25
"57","Léo Moura (LAT)","Grêmio","11,85",5,"6,12","0,00","0,00",3,NA,1,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3
"58","Balbuena (ZAG)","Corinthians","16,36",8,"6,11","1,50","0,01",26,NA,NA,3,6,3,NA,NA,NA,NA,NA,NA,1,NA,NA,5,NA,20
"59","Léo Duarte (ZAG)","Flamengo","8,68",8,"6,00","4,10","-0,97",12,NA,NA,6,3,3,1,NA,NA,NA,NA,NA,1,NA,NA,2,NA,7
"60","Fellipe Bastos (MEI)","Sport","10,41",9,"5,98","11,70","1,71",18,1,2,NA,2,10,10,NA,NA,NA,NA,NA,NA,NA,NA,9,1,24
"61","Paulo André (ZAG)","Atlético-PR","8,08",2,"5,80","0,00","0,00",3,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4,NA,3
"62","Maílson (GOL)","Sport","5,14",3,"5,80","0,00","0,00",NA,NA,1,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,2,NA,NA,2
"63","Ayrton Lucas (LAT)","Fluminense","10,43",4,"5,70","0,00","0,00",9,NA,NA,1,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5
"64","Pio (MEI)","Ceará","8,19",6,"5,68","5,20","0,60",15,1,1,NA,7,7,6,NA,NA,NA,1,NA,1,NA,NA,9,1,19
"65","Wallyson (ATA)","Vitória","10,37",8,"5,60","3,00","0,71",7,2,3,NA,8,7,3,1,NA,NA,NA,NA,1,NA,NA,7,1,23
"66","Fabiano (LAT)","Internacional","9,59",4,"5,55","0,00","0,00",9,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,4,NA,12
"67","Richard (MEI)","Fluminense","15,57",10,"5,54","0,50","-0,97",35,1,NA,NA,16,2,1,NA,NA,NA,NA,NA,2,NA,NA,10,NA,23
"68","Weverton (GOL)","Palmeiras","8,88",1,"5,50","0,00","0,00",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Jonas (MEI)","Flamengo","7,85",6,"5,50","0,00","0,00",25,NA,NA,NA,2,4,1,NA,NA,NA,NA,NA,2,NA,NA,7,NA,8
"70","Leandro Carvalho (ATA)","Botafogo","5,86",1,"5,50","0,00","0,00",2,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"71","Jean (LAT)","Palmeiras","6,39",1,"5,50","5,50","-0,61",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Arthur  (ATA)","Chapecoense","9,28",10,"5,47","-1,70","-1,69",10,4,NA,NA,22,13,2,1,NA,NA,NA,NA,2,NA,NA,17,1,20
"73","Jean Mota (MEI)","Santos","11,10",9,"5,42","4,30","-0,23",17,1,NA,NA,13,10,12,1,NA,NA,NA,NA,NA,NA,NA,14,NA,32
"74","Rafael Moura (ATA)","América-MG","12,08",6,"5,40","0,00","0,00",2,3,2,NA,6,3,4,NA,NA,NA,NA,NA,1,NA,NA,13,3,16
"75","Paulo Miranda (ZAG)","Grêmio","7,76",2,"5,40","0,00","0,00",4,NA,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,5
"76","Murilo (ZAG)","Cruzeiro","8,07",2,"5,40","0,00","0,00",4,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3
"77","Éder Militão (LAT)","São Paulo","12,56",7,"5,37","0,00","0,00",16,1,NA,3,7,6,2,NA,NA,NA,NA,NA,4,NA,NA,14,NA,17
"78","Lucca (ATA)","Internacional","9,09",7,"5,36","0,00","0,00",7,1,2,NA,19,5,4,1,NA,NA,NA,NA,2,NA,NA,7,NA,16
"79","Gabriel (ATA)","Santos","13,48",9,"5,32","6,20","-0,95",8,3,1,NA,16,17,4,NA,NA,NA,NA,NA,1,NA,NA,14,6,25
"80","Thiago Santos (ATA)","Paraná","3,33",3,"5,30","8,20","0,49",1,1,1,NA,4,2,NA,2,NA,NA,NA,NA,2,NA,NA,4,2,4
"81","Marcelo (MEI)","Botafogo","4,13",1,"5,30","0,00","0,00",2,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Thiago Larghi (TEC)","Atlético-MG","10,91",10,"5,30","5,97","0,28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Cuéllar (MEI)","Flamengo","11,78",7,"5,29","14,10","2,35",33,NA,1,NA,2,1,NA,NA,NA,NA,NA,1,2,NA,NA,14,NA,11
"84","Giovanni (LAT)","América-MG","7,78",6,"5,28","3,20","0,44",8,2,NA,1,7,1,1,NA,NA,NA,NA,NA,2,NA,NA,2,NA,6
"85","Matheus Fernandes (MEI)","Botafogo","13,56",8,"5,28","0,00","0,00",28,NA,1,NA,7,5,1,1,NA,NA,NA,NA,3,NA,NA,9,1,18
"86","Silvinho (ATA)","Paraná","9,59",9,"5,27","12,00","2,39",13,2,NA,NA,20,9,7,NA,NA,NA,NA,NA,1,NA,NA,10,NA,22
"87","Leonardo Valencia (MEI)","Botafogo","9,15",8,"5,24","6,70","0,14",9,1,2,NA,12,8,3,1,NA,NA,NA,NA,NA,NA,NA,4,NA,22
"88","Luan (ATA)","Grêmio","15,92",7,"5,23","4,90","0,12",5,NA,1,NA,31,14,6,2,NA,NA,NA,NA,1,NA,NA,12,NA,26
"89","Felipe Vizeu (ATA)","Flamengo","6,36",3,"5,23","8,00","0,50",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"90","Bressan (ZAG)","Grêmio","9,27",8,"5,21","3,80","-0,09",12,NA,NA,6,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,9,NA,7
"91","Marcelo Lomba (GOL)","Internacional","7,72",1,"5,20","0,00","0,00",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"92","Moisés (LAT)","Botafogo","8,06",5,"5,12","10,20","1,98",15,NA,NA,1,8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,13
"93","Borja (ATA)","Palmeiras","12,68",4,"5,08","0,00","0,00",7,1,1,NA,4,10,2,NA,NA,NA,NA,NA,3,NA,NA,11,4,7
"94","Renato Gaúcho (TEC)","Grêmio","14,58",10,"5,07","3,58","-0,23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Raul Prata (LAT)","Sport","10,59",6,"5,07","11,70","0,96",19,NA,NA,2,9,1,1,NA,NA,NA,NA,1,1,NA,NA,5,NA,17
"96","Edigar Junio (ATA)","Bahia","9,88",5,"5,06","0,00","0,00",3,2,NA,NA,7,1,3,1,NA,NA,NA,NA,NA,NA,NA,7,1,7
"97","Claudinei Oliveira (TEC)","Sport","9,37",8,"5,01","6,34","0,50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Luan (ATA)","Atlético-MG","14,49",10,"5,01","6,40","0,73",33,NA,2,NA,6,7,3,NA,NA,NA,NA,NA,2,NA,NA,16,1,30
"99","Júnior Tavares (LAT)","São Paulo","7,58",1,"5,00","0,00","0,00",1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
"100","Cedric (LAT)","Vitória","3,29",1,"5,00","5,00","0,29",1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"101","Gabriel (MEI)","Corinthians","11,91",8,"4,97","5,40","0,51",28,1,NA,NA,12,4,1,NA,NA,NA,NA,NA,3,NA,NA,19,NA,17
"102","Caio Monteiro (ATA)","Vasco","5,20",4,"4,97","0,00","0,00",4,1,1,NA,7,3,1,NA,NA,NA,NA,NA,NA,NA,NA,6,1,9
"103","Rhodolfo (ZAG)","Flamengo","8,57",4,"4,95","9,50","0,97",7,NA,NA,3,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,5
"104","Cueva (MEI)","São Paulo","12,56",3,"4,93","0,00","0,00",4,NA,2,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,9
"105","Odair Hellmann (TEC)","Internacional","11,16",9,"4,93","0,00","0,00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Ángel Romero (ATA)","Corinthians","9,75",6,"4,92","4,90","-1,12",11,NA,2,NA,29,7,1,NA,NA,NA,NA,NA,3,NA,NA,9,NA,26
"107","Victor Luis (LAT)","Palmeiras","9,27",3,"4,90","13,50","2,72",5,NA,NA,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2
"108","Raphael Alemão (ATA)","Paraná","4,45",2,"4,85","0,00","0,00",3,NA,NA,NA,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3
"109","Alemão (LAT)","Paraná","7,80",6,"4,78","0,00","0,00",17,NA,NA,1,3,5,2,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,19
"110","Danilo Fernandes (GOL)","Internacional","9,39",8,"4,77","0,00","0,00",NA,NA,NA,4,1,NA,NA,NA,10,NA,NA,NA,NA,NA,6,NA,NA,1
"111","Yago (ZAG)","Botafogo","4,96",2,"4,75","4,50","0,06",3,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"112","Santos (GOL)","Atlético-PR","8,93",9,"4,74","1,00","-1,12",NA,NA,NA,4,1,NA,NA,NA,14,NA,NA,NA,NA,NA,9,NA,NA,6
"113","Iago (LAT)","Internacional","11,58",8,"4,74","0,00","0,00",19,NA,NA,5,2,3,2,NA,NA,NA,NA,NA,3,NA,NA,13,1,28
"114","Cazares (MEI)","Atlético-MG","11,57",8,"4,73","9,40","1,51",6,2,2,NA,2,10,6,NA,NA,NA,NA,NA,1,NA,NA,6,NA,28
"115","Bruno Henrique (MEI)","Palmeiras","9,38",9,"4,72","1,50","-0,28",25,1,1,NA,18,5,NA,1,NA,NA,NA,NA,3,NA,NA,26,NA,17
"116","Cléber Reis (ZAG)","Paraná","6,53",5,"4,72","0,00","0,00",9,NA,NA,2,5,3,1,NA,NA,NA,NA,NA,1,NA,NA,4,1,5
