"","Nome","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"164","Sidão (GOL)","São Paulo","9,56",13,"3,60","-1,00","-2,17",0,0,0,6,0,0,0,0,17,0,0,0,3,0,13,0,0,8
"165","Edigar Junio (ATA)","Bahia","7,62",7,"3,60","0,00","0,00",3,2,0,0,11,1,3,1,0,0,0,0,0,0,0,9,2,9
"166","Vinícius Freitas (LAT)","Chapecoense","3,82",3,"3,60","0,00","0,00",3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,4
"167","Marcinho (LAT)","Botafogo","8,32",12,"3,59","11,90","1,81",17,1,3,2,4,4,1,0,0,0,0,0,2,0,0,12,1,38
"168","Fábio (GOL)","Cruzeiro","9,99",14,"3,55","-1,00","-0,02",0,0,0,5,1,0,0,0,16,0,0,0,0,0,11,0,0,6
"169","Gilson Kleina (TEC)","Chapecoense","7,63",15,"3,53","0,88","-0,44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170","Serginho Chulapa (TEC)","Santos","10,28",1,"3,52","3,52","-1,03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"171","Emerson (LAT)","Atlético-MG","4,51",4,"3,52","0,00","0,00",9,0,0,1,7,0,0,0,0,0,0,0,1,0,0,7,0,8
"172","Marcos Paquetá (TEC)","Botafogo","9,63",3,"3,50","5,51","0,85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"173","Pablo (ATA)","Atlético-PR","9,78",14,"3,50","0,00","0,00",17,3,0,0,10,15,7,0,0,0,0,0,2,0,0,28,8,13
"174","Arboleda (ZAG)","São Paulo","9,18",10,"3,50","0,10","-0,59",16,0,1,3,11,5,2,0,0,0,0,0,3,0,0,18,2,16
"175","Aderllan (ZAG)","Vitória","3,64",9,"3,50","4,40","0,91",9,1,0,4,4,4,2,0,0,0,1,0,1,0,0,14,0,12
"176","Marcelo Benevenuto (ZAG)","Botafogo","6,69",1,"3,50","0,00","0,00",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"177","Igor Rabello (ZAG)","Botafogo","11,59",15,"3,46","8,70","1,08",22,2,0,3,11,3,2,0,0,0,1,0,1,0,0,12,3,26
"178","Elton (ATA)","Ceará","6,18",6,"3,45","0,00","0,00",3,2,1,0,4,4,4,0,0,0,0,0,2,0,0,17,1,6
"179","Danilo Fernandes (GOL)","Internacional","8,00",12,"3,45","-1,00","-1,04",0,0,0,5,2,0,0,0,12,0,0,0,0,0,10,0,0,2
"180","Luan (ZAG)","Palmeiras","3,52",2,"3,45","0,00","0,00",5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,2
"181","Raniel (ATA)","Cruzeiro","6,83",12,"3,43","0,00","0,00",7,2,1,0,19,10,6,0,0,0,0,0,0,0,0,24,3,5
"182","Ademir (ATA)","América-MG","3,11",8,"3,36","0,00","0,00",8,1,0,0,21,6,3,0,0,0,0,0,2,0,0,8,2,10
"183","Alison (MEI)","Santos","8,12",8,"3,35","2,70","-0,23",24,0,0,0,12,2,0,0,0,0,0,0,3,0,0,15,0,11
"184","Danilo Silva (ZAG)","Internacional","5,08",2,"3,35","0,00","0,00",5,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,0,1
"185","Jucilei (MEI)","São Paulo","7,83",11,"3,34","0,00","0,00",31,0,0,0,17,2,0,0,0,0,0,0,2,0,0,21,0,18
"186","Rogério (ATA)","Sport","8,63",14,"3,32","0,50","-0,10",4,2,1,0,25,14,8,0,0,0,0,0,0,0,0,12,6,16
"187","Rogério Micale (TEC)","Paraná","6,90",15,"3,30","2,53","-0,12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"188","Pablo Dyego (ATA)","Fluminense","5,75",10,"3,29","0,00","0,00",3,2,0,0,12,6,4,1,0,0,0,0,0,0,0,4,0,14
"189","Adilson (MEI)","Atlético-MG","6,64",10,"3,28","0,00","0,00",30,0,0,0,16,0,0,0,0,0,0,0,3,0,0,17,0,19
"190","Maicon (MEI)","Grêmio","8,21",11,"3,27","3,90","0,47",19,3,1,0,8,4,2,0,0,0,0,0,3,1,0,17,0,42
"191","Willian Farias (MEI)","Vitória","6,17",8,"3,25","11,00","1,93",16,0,1,0,3,3,1,0,0,0,0,0,1,0,0,8,0,7
"192","Walisson Maia (ZAG)","Vitória","5,06",2,"3,25","0,00","0,00",7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,5
"193","Rhayner (ATA)","Vitória","8,58",11,"3,25","0,00","0,00",20,0,1,0,20,6,9,1,0,0,0,0,4,0,0,24,0,26
"194","Henrique (ZAG)","Corinthians","10,00",15,"3,24","5,60","1,32",7,1,0,6,11,4,0,0,0,0,0,0,1,0,0,7,0,10
"195","Vanderlei (GOL)","Santos","14,57",14,"3,23","1,00","-1,19",0,0,0,3,2,0,0,0,22,0,0,0,0,0,18,0,0,2
"196","Vagner Mancini (TEC)","Vitória","8,31",15,"3,23","6,24","0,90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
