"","Nome","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"1","Rafael (GOL)","Cruzeiro","8,66",2,"11,75","13,00","0,95",0,0,0,1,0,0,0,0,7,0,0,0,0,0,1,1,0,0
"2","Carlos Augusto (LAT)","Corinthians","2,68",1,"10,00","10,00","1,68",3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"3","Andrey (MEI)","Vasco","8,19",9,"9,41","2,80","-1,57",33,3,1,0,13,13,4,0,0,0,0,0,1,0,0,18,0,15
"4","Yago Pikachu (LAT)","Vasco","19,42",15,"8,92","12,10","0,21",14,7,1,2,53,11,18,1,0,0,0,0,1,0,0,6,6,34
"5","Gustavo Blanco (MEI)","Atlético-MG","19,53",11,"8,86","0,00","0,00",51,0,4,0,4,5,10,3,0,0,0,0,4,0,0,20,1,25
"6","Marcelo Lomba (GOL)","Internacional","8,97",3,"8,63","13,70","1,50",0,0,0,2,1,0,0,0,6,0,0,0,0,0,1,0,0,2
"7","Arrascaeta (MEI)","Cruzeiro","17,29",10,"8,55","3,20","0,04",17,3,4,0,22,11,9,1,0,0,0,0,2,0,0,11,1,25
"8","Pedro Geromel (ZAG)","Grêmio","16,04",6,"8,48","0,00","0,00",25,0,0,3,3,3,0,0,0,0,0,0,1,0,0,4,0,5
"9","Everton (ATA)","Grêmio","18,24",12,"8,12","0,00","0,00",19,4,3,0,22,20,9,2,0,0,0,0,3,0,0,16,2,23
"10","Gatito Fernández (GOL)","Botafogo","14,65",2,"8,05","0,00","0,00",0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,3
"11","Lucas Kal (ZAG)","São Paulo","5,17",1,"8,00","0,00","0,00",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Víctor Cuesta (ZAG)","Internacional","18,30",15,"7,97","5,30","-0,76",53,2,1,8,13,1,0,0,0,0,0,0,5,0,0,18,1,29
"13","Pedro (ATA)","Fluminense","16,83",15,"7,97","10,80","1,44",9,10,2,0,33,15,9,0,0,0,0,0,1,0,0,23,2,29
"14","Lucas Paquetá (MEI)","Flamengo","21,76",15,"7,88","3,10","-1,19",39,5,1,0,38,10,15,1,0,0,0,0,3,0,0,23,0,53
"15","Gilberto (ATA)","Bahia","11,66",4,"7,75","1,50","-1,00",2,3,0,0,8,2,1,0,0,0,0,0,0,0,0,2,0,6
"16","Kannemann (ZAG)","Grêmio","13,09",10,"7,73","0,00","0,00",34,0,0,7,18,2,1,0,0,0,0,1,3,0,0,13,0,10
"17","Evandro (LAT)","Sport","3,86",1,"7,70","0,00","0,00",2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"18","Zé Rafael  (MEI)","Bahia","18,90",15,"7,57","3,30","-1,82",38,2,1,0,51,17,16,3,0,0,0,0,3,0,0,28,1,37
"19","Patrick (MEI)","Internacional","17,71",15,"7,57","5,40","0,35",55,3,3,0,21,7,6,0,0,0,0,0,3,0,0,27,0,39
"20","Ángel Romero (ATA)","Corinthians","11,14",11,"7,45","1,90","-3,08",14,6,2,0,43,9,3,0,0,0,0,0,5,0,0,15,1,38
"21","Juninho Quixadá (ATA)","Ceará","5,60",2,"7,35","7,70","1,19",1,1,1,0,1,2,0,1,0,0,0,0,1,0,0,2,2,3
"22","Emerson Santos (ZAG)","Internacional","3,65",1,"7,20","0,00","0,00",1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3
"23","Thuler (ZAG)","Flamengo","4,91",6,"7,00","3,40","-0,35",12,1,0,4,2,1,0,0,0,0,0,0,1,0,0,4,0,6
"24","Gilberto  (LAT)","Fluminense","8,71",11,"6,91","0,00","0,00",24,3,2,4,16,5,2,0,0,0,0,1,3,0,0,16,1,30
"25","Marcelo Cirino (ATA)","Atlético-PR","6,83",2,"6,80","3,90","-0,39",5,1,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,9
