"","Nome","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"200","Edigar Junio (ATA)","Bahia","6,82",1,"0,90","0,90","-2,18",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
"201","Alberto Valentim (TEC)","Botafogo","7,70",1,"4,18","4,18","0,70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Thiago Larghi (TEC)","Atlético-MG","6,30",1,"4,15","4,15","1,30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Victor (GOL)","Atlético-MG","12,47",1,"4,10","4,10","-1,53",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,NA,NA,3
"204","Rodrigo Caio (ZAG)","São Paulo","11,09",1,"4,10","4,10","-0,91",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3
"205","Werley (ZAG)","Vasco","5,58",1,"4,10","4,10","1,58",2,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"206","Martín Silva (GOL)","Vasco","12,40",1,"4,00","4,00","-1,60",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA
"207","Ferreira (MEI)","Sport","4,75",1,"3,90","3,90","1,75",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"208","Maurício Barbieri (TEC)","Flamengo","9,50",1,"3,79","3,79","-0,50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Gilson (LAT)","Botafogo","5,30",1,"3,70","3,70","1,30",3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6
"210","Abel Braga (TEC)","Fluminense","10,06",1,"3,61","3,61","-0,94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","Lucas Fernandes (MEI)","São Paulo","5,24",1,"3,60","3,60","1,24",1,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
