"","Nome","Posição","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"36","Pio","MEI","Ceará","7,60",4,"6,83","0,00","0,00",12,1,1,0,2,3,4,0,0,0,1,0,0,0,0,5,1,13
"37","Clayson","ATA","Corinthians","11,94",3,"6,83","0,00","0,00",6,1,1,0,3,1,0,0,0,0,0,0,0,0,0,4,0,6
"38","Víctor Cuesta","ZAG","Internacional","16,32",6,"6,82","0,00","0,00",23,0,0,4,4,0,0,0,0,0,0,0,3,0,0,12,0,12
"39","Gilberto ","LAT","Fluminense","9,25",6,"6,80","13,80","1,42",12,1,2,2,10,3,1,0,0,0,0,1,0,0,0,7,1,16
"40","Yago Pikachu","LAT","Vasco","14,82",6,"6,72","3,60","-0,08",5,2,0,0,19,5,7,1,0,0,0,0,0,0,0,4,2,17
"41","Renê","LAT","Flamengo","11,49",6,"6,67","6,10","0,91",16,0,0,4,5,1,1,0,0,0,0,0,0,0,0,4,1,20
"42","Lucca","ATA","Internacional","9,95",5,"6,60","8,50","-0,57",5,1,2,0,12,4,4,1,0,0,0,0,2,0,0,5,0,10
"43","Marcos Rocha","LAT","Palmeiras","12,40",7,"6,60","4,80","-0,79",22,1,1,3,6,0,0,1,0,0,0,0,2,0,0,15,0,31
"44","Kannemann","ZAG","Grêmio","12,08",5,"6,58","8,80","0,40",13,0,0,4,7,1,0,0,0,0,0,1,1,0,0,6,0,3
"45","Rodrigo Caio","ZAG","São Paulo","12,76",2,"6,55","0,00","0,00",3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,3
"46","Neilton","ATA","Vitória","11,62",6,"6,47","7,20","-0,61",10,2,2,0,15,5,0,0,0,0,0,0,1,0,0,7,2,24
"47","Diego Souza","MEI","São Paulo","12,00",4,"6,40","8,40","0,53",1,3,0,0,4,3,1,0,0,0,0,0,0,0,0,3,2,10
