"","Nome","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"1","Emerson Santos (ZAG)","Internacional","5,00",2,"10,10","13,00","1,35",5,0,0,2,1,3,1,0,0,0,0,0,0,0,0,1,0,3
"2","Marcelo Lomba (GOL)","Internacional","8,70",5,"9,52","8,00","-0,70",0,0,0,4,1,0,0,0,10,0,0,0,0,0,1,0,0,3
"3","Gustavo Blanco (MEI)","Atlético-MG","19,53",11,"8,86","0,00","0,00",51,0,4,0,4,5,10,3,0,0,0,0,4,0,0,20,1,25
"4","Pedro Geromel (ZAG)","Grêmio","16,74",7,"8,84","11,00","0,70",29,0,0,4,3,3,0,0,0,0,0,0,1,0,0,4,0,5
"5","Andrey (MEI)","Vasco","7,70",10,"8,50","0,00","0,00",34,3,1,0,15,15,4,0,0,0,0,0,2,0,0,21,0,16
"6","Yago Pikachu (LAT)","Vasco","18,17",17,"8,39","6,00","0,32",17,7,1,2,58,14,20,1,0,0,0,0,1,0,0,8,7,39
"7","Everton (ATA)","Grêmio","17,33",14,"8,22","11,10","0,73",20,6,3,0,23,21,11,2,0,0,0,0,3,0,0,17,2,33
"8","Kannemann (ZAG)","Grêmio","14,38",11,"8,21","13,00","1,29",40,0,0,8,18,2,1,0,0,0,0,1,3,0,0,14,1,10
"9","Gustavo Gómez (ZAG)","Palmeiras","10,06",2,"8,05","8,40","1,14",4,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,3
"10","Gatito Fernández (GOL)","Botafogo","14,65",2,"8,05","0,00","0,00",0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,3
"11","Bruno Grassi (GOL)","Grêmio","4,52",1,"8,00","8,00","0,52",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"12","Lucas Kal (ZAG)","São Paulo","5,17",1,"8,00","0,00","0,00",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Arrascaeta (MEI)","Cruzeiro","16,84",11,"7,93","0,00","0,00",18,3,4,0,23,12,10,1,0,0,0,0,3,0,0,11,1,26
"14","Evandro (LAT)","Sport","3,86",1,"7,70","0,00","0,00",2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"15","Rafael (GOL)","Cruzeiro","6,53",3,"7,67","0,00","0,00",0,0,0,1,3,0,0,0,7,0,0,0,0,0,2,1,0,0
"16","Víctor Cuesta (ZAG)","Internacional","17,79",16,"7,67","0,00","0,00",55,2,1,9,14,1,0,0,0,0,0,0,6,0,0,20,1,37
"17","Pedro (ATA)","Fluminense","15,69",17,"7,61","4,50","-0,26",11,10,2,0,38,19,11,0,0,0,0,0,1,0,0,24,2,32
"18","Gilberto (ATA)","Bahia","12,49",6,"7,38","4,00","-0,80",4,4,0,0,12,4,1,0,0,0,0,0,0,0,0,4,0,7
"19","Walter (GOL)","Corinthians","10,11",8,"7,27","15,00","1,15",1,0,0,2,2,0,0,0,20,0,0,0,0,0,7,0,0,1
"20","Lucas Paquetá (MEI)","Flamengo","21,22",17,"7,27","3,70","-0,01",42,5,1,0,45,12,16,1,0,0,0,0,4,0,0,27,0,58
"21","Patrick (MEI)","Internacional","17,49",17,"7,26","5,80","0,11",61,3,3,0,23,8,8,0,0,0,0,0,3,0,0,30,0,45
"22","Ricardo Oliveira (ATA)","Atlético-MG","12,82",18,"7,05","8,50","-1,29",8,9,6,0,19,19,17,0,0,0,0,0,2,0,0,27,12,29
"23","Zé Rafael  (MEI)","Bahia","18,19",17,"7,04","1,70","-0,73",40,2,1,0,59,20,17,3,0,0,0,0,3,0,0,33,2,42
"24","Luiz Felipe Scolari (TEC)","Palmeiras","13,82",3,"7,01","10,40","1,67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Gilberto  (LAT)","Fluminense","10,34",13,"6,80","10,30","1,40",29,3,2,5,17,6,3,0,0,0,0,1,3,0,0,17,1,37
"26","Durval (ZAG)","Sport","6,27",2,"6,75","0,00","0,00",2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","Ángel Romero (ATA)","Corinthians","10,30",12,"6,75","-0,90","-0,84",14,6,2,0,44,9,3,0,0,0,0,0,5,0,0,16,1,41
"28","Leonardo (LAT)","Grêmio","4,59",6,"6,72","8,60","0,22",13,0,1,4,5,2,2,0,0,0,0,0,1,0,0,9,0,14
"29","Joao Rojas (ATA)","São Paulo","10,21",7,"6,61","5,50","-0,20",12,1,4,0,9,4,1,0,0,0,0,0,1,0,0,7,2,7
"30","Rodrigo Caio (ZAG)","São Paulo","12,76",2,"6,55","0,00","0,00",3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,3
"31","Willian (ATA)","Palmeiras","12,66",15,"6,52","0,00","0,00",14,7,2,0,17,9,9,3,0,0,0,0,2,0,0,30,6,9
"32","Nino Paraíba (LAT)","Bahia","13,40",10,"6,42","0,00","0,00",29,0,1,4,14,3,3,0,0,0,0,0,2,0,0,11,0,26
"33","Marcos Rocha (LAT)","Palmeiras","14,63",15,"6,40","17,20","2,38",55,1,2,5,15,0,2,1,0,0,0,0,4,0,0,30,0,65
"34","Réver (ZAG)","Flamengo","15,85",10,"6,33","0,00","0,00",9,2,0,5,12,5,2,0,0,0,0,0,0,0,0,5,0,4
"35","Trauco (LAT)","Flamengo","6,45",4,"6,30","0,00","0,00",6,0,2,2,1,0,1,0,0,0,0,0,0,0,0,5,0,10
"36","Bruno Cortez (LAT)","Grêmio","15,63",15,"6,25","5,40","0,04",30,0,0,13,19,0,1,0,0,0,0,0,2,0,0,23,0,38
"37","Léo Moura (LAT)","Grêmio","11,66",9,"6,13","0,00","0,00",8,0,2,7,8,0,0,0,0,0,0,0,0,0,0,5,0,11
"38","Mateus (LAT)","Vitória","3,57",1,"6,10","0,00","0,00",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4
"39","Thuler (ZAG)","Flamengo","4,34",7,"6,06","0,40","-0,57",13,1,0,4,2,2,0,0,0,0,0,0,1,0,0,6,0,9
"40","Dedé (ZAG)","Cruzeiro","10,97",14,"6,04","2,10","-1,18",31,2,0,5,15,6,5,0,0,0,0,0,3,0,0,15,1,24
"41","Rodrigo Moledo (ZAG)","Internacional","12,70",13,"6,02","8,20","0,37",24,1,0,8,12,4,1,0,0,0,0,0,2,0,0,13,1,17
"42","Marinho (ATA)","Grêmio","13,88",6,"6,00","0,00","0,00",10,1,1,0,15,5,5,0,0,0,0,0,1,0,0,8,1,10
"43","Renê (LAT)","Flamengo","12,32",17,"5,91","0,30","-0,69",45,0,2,9,17,2,3,0,0,0,0,0,3,0,0,21,1,62
"44","Nico López (ATA)","Internacional","14,67",16,"5,90","-0,60","-3,85",16,6,2,0,13,8,14,3,0,0,0,0,3,0,0,15,4,36
"45","Paulo Miranda (ZAG)","Grêmio","8,47",6,"5,90","0,00","0,00",11,0,0,4,7,2,0,0,0,0,0,0,0,0,0,4,0,14
"46","Yago (ZAG)","Botafogo","5,82",3,"5,83","0,00","0,00",5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"47","Bruno Henrique (MEI)","Palmeiras","10,84",17,"5,76","0,70","-0,02",41,5,2,0,27,10,2,1,0,0,0,0,4,0,0,43,0,37
"48","Reinaldo (LAT)","São Paulo","11,57",13,"5,71","0,00","0,00",23,2,1,5,12,12,5,0,0,0,0,0,2,0,0,23,1,40
"49","Júnior (LAT)","Paraná","7,32",15,"5,66","0,70","-0,63",42,0,1,4,29,3,2,0,0,0,0,0,2,0,0,20,0,28
"50","Leonardo Silva (ZAG)","Atlético-MG","9,96",7,"5,63","7,50","0,35",11,2,0,2,9,2,0,1,0,0,0,0,2,0,0,5,0,19
"51","Egídio (LAT)","Cruzeiro","10,88",12,"5,61","8,10","0,88",35,0,1,5,12,5,0,0,0,0,0,0,1,0,0,17,6,39
"52","Luan (ATA)","Atlético-MG","15,82",18,"5,61","10,00","0,80",49,3,3,0,14,9,4,1,0,0,0,0,3,0,0,26,2,45
"53","Maílson (GOL)","Sport","5,20",4,"5,60","0,00","0,00",0,0,1,2,0,0,0,0,4,0,0,0,0,0,2,0,0,2
"54","Matheus Fernandes (MEI)","Botafogo","13,13",16,"5,54","0,00","0,00",64,0,1,0,21,9,4,1,0,0,0,1,5,0,0,23,1,36
"55","Dudu (ATA)","Palmeiras","17,12",15,"5,50","18,30","2,14",12,4,4,0,53,7,13,0,0,0,0,1,5,0,0,13,2,42
"56","Rodrygo (ATA)","Santos","12,86",16,"5,50","8,00","0,44",10,6,3,0,31,8,8,1,0,0,0,0,1,0,0,19,1,42
"57","Chará (ATA)","Atlético-MG","11,45",7,"5,50","7,30","1,04",8,1,3,0,16,1,1,0,0,0,0,0,0,0,0,1,3,15
"58","João Ricardo (GOL)","América-MG","7,72",10,"5,46","10,10","1,59",0,0,0,4,1,0,0,0,18,1,0,0,0,0,12,0,0,10
"59","Diego Alves (GOL)","Flamengo","13,01",16,"5,39","0,00","0,00",0,0,0,9,5,0,0,0,20,1,0,0,2,0,9,0,0,21
"60","Luan (ATA)","Grêmio","16,21",12,"5,38","9,50","-0,03",15,0,4,0,41,19,9,2,0,0,0,0,1,1,0,16,3,50
"61","Santos (GOL)","Atlético-PR","12,04",16,"5,34","16,70","1,31",0,0,0,7,2,0,0,0,28,0,0,0,0,0,16,0,0,9
"62","Serginho (MEI)","América-MG","16,58",12,"5,34","0,00","0,00",11,4,3,0,14,8,6,0,0,0,0,0,1,0,0,17,1,30
"63","Ronaldo (GOL)","Vitória","5,49",6,"5,33","12,00","2,00",0,0,0,2,2,0,0,0,15,0,0,0,0,0,12,0,0,0
"64","Maurício Barbieri (TEC)","Flamengo","13,61",19,"5,32","2,03","-0,90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","Odair Hellmann (TEC)","Internacional","12,19",18,"5,31","5,32","-0,52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","Edson (MEI)","Bahia","6,40",3,"5,30","0,00","0,00",10,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,2
"67","Éverson (GOL)","Ceará","11,15",18,"5,26","5,80","-0,29",0,0,0,6,7,1,0,0,35,0,0,0,1,0,20,1,0,7
"68","Carlinhos (LAT)","América-MG","12,70",10,"5,26","11,00","0,70",19,1,1,4,11,4,5,0,0,0,0,0,3,0,0,18,1,27
"69","Bressan (ZAG)","Grêmio","10,48",14,"5,24","0,00","0,00",17,1,0,10,8,2,0,0,0,0,0,0,1,0,0,17,0,17
"70","Thiago Rodrigues (GOL)","Paraná","7,57",11,"5,23","0,00","0,00",0,0,0,4,1,0,0,0,18,1,0,0,0,0,11,1,0,5
"71","Everton (MEI)","São Paulo","11,51",16,"5,13","4,30","-0,46",12,5,6,0,41,6,5,0,0,0,0,0,4,0,0,23,8,45
"72","Renato Gaúcho (TEC)","Grêmio","15,44",19,"5,11","6,70","-0,37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","Diego Aguirre (TEC)","São Paulo","12,79",18,"5,10","7,36","0,47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","Carlos Augusto (LAT)","Corinthians","1,22",2,"5,10","0,00","0,00",4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,0,2
"75","Tiago Alves (ZAG)","Ceará","6,87",11,"5,05","9,20","0,98",16,1,0,6,4,1,0,0,0,0,0,0,1,0,0,7,1,11
"76","Gabriel (ATA)","Santos","14,03",18,"5,05","6,60","-0,45",17,6,1,0,30,25,8,0,0,0,0,0,1,0,0,18,14,47
"77","Iago (LAT)","Internacional","11,89",17,"5,04","8,50","-0,72",36,0,1,10,6,5,2,0,0,0,0,0,4,0,0,20,2,46
"78","Anderson Martins (ZAG)","São Paulo","7,74",10,"5,03","0,00","0,00",26,1,0,4,3,4,2,0,0,0,0,1,4,0,0,13,0,14
"79","Juninho Quixadá (ATA)","Ceará","4,53",3,"5,03","0,00","0,00",2,1,1,0,1,3,0,1,0,0,0,0,1,0,0,4,2,6
"80","Rodinei (LAT)","Flamengo","12,59",19,"5,01","0,80","-1,08",20,0,2,10,25,5,6,0,0,0,0,0,2,0,0,12,1,27
"81","Zeca (LAT)","Internacional","10,28",9,"4,98","0,00","0,00",15,0,1,5,5,2,1,0,0,0,0,0,0,0,0,6,2,30
"82","Tiago Nunes (TEC)","Atlético-PR","10,60",6,"4,98","9,23","1,20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","Neilton (ATA)","Vitória","10,76",17,"4,96","-4,50","-1,27",22,5,3,0,41,13,4,1,0,0,0,0,5,0,0,24,3,63
"84","Cássio (GOL)","Corinthians","9,65",11,"4,95","0,00","0,00",1,0,0,5,1,0,0,0,18,0,0,0,3,0,9,1,0,7
"85","Rhodolfo (ZAG)","Flamengo","8,57",4,"4,95","0,00","0,00",7,0,0,3,2,1,0,0,0,0,0,1,0,0,0,1,1,5
"86","Yuri (LAT)","Botafogo","1,71",1,"4,90","0,00","0,00",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"87","Leonardo Valencia (MEI)","Botafogo","10,40",17,"4,90","7,50","0,81",19,2,3,0,25,17,13,1,0,0,0,0,1,0,0,12,0,43
"88","Nenê (MEI)","São Paulo","9,90",18,"4,89","0,40","-1,50",11,7,2,0,38,12,6,2,0,0,0,0,5,0,0,16,3,56
"89","Diego Souza (MEI)","São Paulo","11,43",15,"4,89","0,20","-1,45",3,7,1,0,25,9,7,1,0,0,0,0,0,0,0,22,8,27
"90","Thiago Larghi (TEC)","Atlético-MG","11,87",19,"4,87","8,05","0,50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","Gabriel (MEI)","Corinthians","11,71",16,"4,83","0,70","-1,23",59,1,0,0,21,4,2,0,0,0,0,0,5,0,0,34,0,28
"92","Rafael Sobis (ATA)","Cruzeiro","8,90",11,"4,81","0,00","0,00",10,2,1,0,15,12,5,2,0,0,0,0,2,0,0,6,2,14
"93","Moisés (LAT)","Botafogo","7,66",12,"4,81","1,20","-0,17",32,0,0,3,18,3,3,0,0,0,0,0,1,0,0,21,0,26
"94","Marcelo Grohe (GOL)","Grêmio","15,68",14,"4,77","0,00","0,00",0,0,0,10,2,0,0,0,9,0,0,0,0,0,5,0,0,4
"95","Jailson (GOL)","Palmeiras","13,68",12,"4,75","0,00","0,00",0,0,0,4,0,0,0,0,23,0,0,1,1,0,11,0,0,10
"96","Richard (MEI)","Fluminense","14,93",17,"4,75","0,10","-0,63",50,1,1,0,25,3,6,0,0,0,0,0,3,0,0,22,0,41
"97","Luan (ZAG)","Palmeiras","5,20",5,"4,74","5,50","0,15",9,0,0,4,5,0,1,0,0,0,0,1,2,0,0,6,0,5
"98","Sander (LAT)","Sport","10,02",18,"4,74","0,40","-1,60",55,0,0,3,32,5,7,0,0,0,0,0,5,0,0,35,2,41
"99","Ayrton Lucas (LAT)","Fluminense","10,94",12,"4,71","9,20","0,77",24,0,0,3,33,4,0,0,0,0,0,0,1,0,0,10,0,24
