"","Nome","Posição","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"1","Caio Monteiro","ATA","Vasco","6,94",1,"16,10","16,10","3,94",1,1,1,0,2,1,1,0,0,0,0,0,0,0,0,1,0,3
"2","Kelvin","ATA","Vasco","8,52",1,"14,00","14,00","2,52",0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Bruno Cosendey","MEI","Vasco","6,20",1,"13,60","13,60","3,20",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"4","Lucas Paquetá","MEI","Flamengo","23,82",4,"12,45","9,90","0,26",15,2,1,0,15,3,4,0,0,0,0,0,1,0,0,5,0,13
"5","Everton","ATA","Grêmio","16,92",3,"11,13","18,40","3,76",5,1,2,0,5,4,3,0,0,0,0,0,0,0,0,1,0,3
"6","Arthur","MEI","Grêmio","19,17",3,"10,90","20,30","4,09",9,1,1,0,14,1,0,0,0,0,0,0,0,0,0,2,0,2
"7","Rodriguinho","MEI","Corinthians","24,02",3,"10,80","0,00","0,00",2,3,1,0,7,2,0,0,0,0,0,0,0,0,0,4,0,9
"8","Rafael","GOL","Cruzeiro","7,71",1,"10,50","0,00","0,00",0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0
"9","Gustavo Blanco","MEI","Atlético-MG","18,46",4,"10,22","5,70","-0,19",18,0,3,0,1,1,3,2,0,0,0,0,2,0,0,12,1,5
"10","Otero","MEI","Atlético-MG","18,86",4,"9,10","0,80","-1,20",5,1,0,0,12,5,7,3,0,0,0,0,0,0,0,5,2,10
"11","Maicon","MEI","Grêmio","11,64",3,"8,83","23,20","5,89",6,2,0,0,5,1,1,0,0,0,0,0,0,0,0,3,0,5
"12","Éder Militão","LAT","São Paulo","14,44",3,"8,83","0,00","0,00",8,1,0,2,2,2,0,0,0,0,0,0,1,0,0,4,0,7
"13","Serginho","MEI","América-MG","18,22",4,"8,75","-1,40","-2,57",6,2,2,0,6,4,2,0,0,0,0,0,0,0,0,9,1,12
"14","Arrascaeta","MEI","Cruzeiro","17,55",3,"8,40","13,20","1,81",7,0,1,0,8,4,6,1,0,0,0,0,1,0,0,6,0,9
"15","Gatito Fernández","GOL","Botafogo","14,65",2,"8,05","0,00","0,00",0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,3
"16","Rodinei","LAT","Flamengo","12,76",4,"8,03","8,70","0,92",5,0,1,3,10,2,1,0,0,0,0,0,0,0,0,0,1,9
"17","Renê","LAT","Flamengo","11,73",4,"7,88","9,00","1,30",13,0,0,3,2,1,1,0,0,0,0,0,0,0,0,3,0,15
"18","Vinicius Junior","ATA","Flamengo","14,85",4,"7,82","1,20","-1,68",2,2,2,0,9,3,3,0,0,0,0,0,1,0,0,4,0,14
"19","Jailson","GOL","Palmeiras","14,57",3,"7,73","6,10","-0,50",0,0,0,1,0,0,0,0,8,0,0,0,0,0,2,0,0,6
"20","Murilo","ZAG","Cruzeiro","8,90",1,"7,70","0,00","0,00",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"21","Réver","ZAG","Flamengo","18,22",4,"7,67","6,00","0,44",1,1,0,3,7,3,1,0,0,0,0,0,0,0,0,0,0,3
"22","Sidcley","LAT","Corinthians","13,36",4,"7,67","0,90","-0,53",9,1,1,1,4,0,0,0,0,0,0,0,0,0,0,2,0,6
"23","Pedro","ATA","Fluminense","13,26",4,"7,67","9,10","1,36",2,2,2,0,8,2,3,0,0,0,0,0,1,0,0,8,0,5
"24","Guerra","MEI","Palmeiras","10,06",1,"7,60","0,00","0,00",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,4
"25","Diego Alves","GOL","Flamengo","12,65",3,"7,57","16,40","3,86",0,0,0,2,1,0,0,0,6,0,0,0,0,0,2,0,0,6
"26","Nino Paraíba","LAT","Bahia","13,45",4,"7,55","0,60","-1,56",12,0,0,2,10,2,2,0,0,0,0,0,1,0,0,3,0,11
"27","Ezequiel ","LAT","Cruzeiro","5,30",1,"7,50","0,00","0,00",4,0,0,1,3,0,0,0,0,0,0,0,1,0,0,3,0,5
"28","Balbuena","ZAG","Corinthians","17,67",3,"7,50","0,00","0,00",13,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,10
