"","Nome","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"1","Gustavo Blanco (MEI)","Atlético-MG","20,98",7,"10,53","17,20","2,27",36,NA,4,NA,1,3,7,2,NA,NA,NA,NA,3,NA,NA,15,1,12
"2","Rafael (GOL)","Cruzeiro","7,71",1,"10,50","0,00","0,00",NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"3","Lucas Paquetá (MEI)","Flamengo","23,35",7,"9,95","14,30","2,07",24,3,1,NA,19,5,7,NA,NA,NA,NA,NA,2,NA,NA,14,NA,21
"4","Arrascaeta (MEI)","Cruzeiro","17,70",5,"9,82","0,00","0,00",13,1,2,NA,12,6,7,1,NA,NA,NA,NA,1,NA,NA,10,NA,12
"5","Trauco (LAT)","Flamengo","7,34",2,"9,75","0,00","0,00",4,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4
"6","Everton (ATA)","Grêmio","16,23",6,"9,57","8,60","-0,13",11,1,3,NA,12,13,5,1,NA,NA,NA,NA,1,NA,NA,5,NA,10
"7","Arthur (MEI)","Grêmio","16,80",4,"9,22","0,00","0,00",11,1,1,NA,17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3
"8","Anselmo (MEI)","Sport","15,84",8,"9,15","8,00","-2,25",37,2,1,NA,14,4,1,1,NA,NA,NA,NA,2,NA,NA,19,NA,14
"9","Thiago Carleto (LAT)","Atlético-PR","19,74",8,"9,03","16,30","1,88",12,1,3,4,12,7,10,1,NA,NA,NA,NA,2,NA,NA,6,NA,28
"10","Róger Guedes (ATA)","Atlético-MG","14,05",8,"8,75","7,30","0,27",6,5,NA,NA,29,7,10,1,NA,NA,NA,NA,1,NA,NA,10,1,22
"11","Pedro Geromel (ZAG)","Grêmio","17,65",3,"8,57","0,00","0,00",12,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,2
"12","Rodriguinho (MEI)","Corinthians","21,16",5,"8,46","-1,50","-3,48",4,4,1,NA,11,2,1,NA,NA,NA,NA,NA,NA,NA,NA,11,1,10
"13","Andrey (MEI)","Vasco","4,82",1,"8,40","8,40","0,82",3,NA,1,NA,2,1,1,NA,NA,NA,NA,NA,1,NA,NA,3,NA,2
"14","Dedé (ZAG)","Cruzeiro","11,40",6,"8,37","8,70","0,76",13,2,NA,4,4,3,2,NA,NA,NA,NA,NA,3,NA,NA,8,NA,7
"15","Diego Souza (MEI)","São Paulo","13,99",5,"8,32","16,00","1,99",2,4,1,NA,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,4,3,10
"16","Yago Pikachu (LAT)","Vasco","17,69",7,"8,29","17,70","2,87",7,3,NA,1,23,5,7,1,NA,NA,NA,NA,NA,NA,NA,4,2,18
"17","Thuler (ZAG)","Flamengo","4,36",2,"8,20","10,70","1,53",6,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,3
"18","Edson (MEI)","Bahia","7,14",1,"8,20","0,00","0,00",5,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
