"","Nome","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"1","Giovanni (LAT)","América-MG","9,81",1,"20,90","20,90","3,81",3,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"2","Lucas Paquetá (MEI)","Flamengo","23,82",4,"12,45","0,00","0,00",15,2,1,NA,15,3,4,NA,NA,NA,NA,NA,1,NA,NA,5,NA,13
"3","Arrascaeta (MEI)","Cruzeiro","20,98",4,"12,10","23,20","3,43",13,1,2,NA,9,6,7,1,NA,NA,NA,NA,1,NA,NA,9,NA,11
"4","Rodriguinho (MEI)","Corinthians","24,64",4,"10,95","11,40","0,62",4,4,1,NA,10,2,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,10
"5","Rafael (GOL)","Cruzeiro","7,71",1,"10,50","0,00","0,00",NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"6","Gustavo Blanco (MEI)","Atlético-MG","19,12",5,"10,04","9,30","0,66",26,NA,3,NA,1,2,4,2,NA,NA,NA,NA,3,NA,NA,15,1,9
"7","Trauco (LAT)","Flamengo","7,34",2,"9,75","14,50","2,93",4,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4
"8","Everton (ATA)","Grêmio","15,02",4,"9,47","4,50","-1,90",8,1,2,NA,5,6,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,5
"9","Pio (MEI)","Ceará","10,37",3,"9,30","19,40","3,84",12,1,1,NA,2,3,4,NA,NA,NA,1,NA,NA,NA,NA,5,1,11
"10","Arthur (MEI)","Grêmio","16,80",4,"9,22","4,20","-2,37",11,1,1,NA,17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3
"11","Kelvin (ATA)","Vasco","7,58",2,"9,20","4,40","-0,94",NA,1,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2
"12","Sidcley (LAT)","Corinthians","16,41",5,"9,18","15,20","3,05",15,1,1,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7
"13","Róger Guedes (ATA)","Atlético-MG","13,39",5,"9,04","15,30","2,06",3,4,NA,NA,18,4,6,NA,NA,NA,NA,NA,1,NA,NA,8,1,14
"14","Dedé (ZAG)","Cruzeiro","11,25",4,"8,88","14,90","1,56",9,2,NA,2,4,3,2,NA,NA,NA,NA,NA,3,NA,NA,6,NA,6
