"","Nome","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"1","Emerson Santos (ZAG)","Internacional","5,00",2,"10,10","0,00","0,00",5,NA,NA,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3
"2","Gustavo Blanco (MEI)","Atlético-MG","19,53",11,"8,86","0,00","0,00",51,NA,4,NA,4,5,10,3,NA,NA,NA,NA,4,NA,NA,20,1,25
"3","Marcelo Lomba (GOL)","Internacional","8,65",7,"8,73","5,00","-0,34",NA,NA,NA,6,2,NA,NA,NA,11,NA,NA,NA,NA,NA,1,NA,NA,3
"4","Andrey (MEI)","Vasco","9,47",12,"8,35","10,30","1,16",39,3,2,NA,20,17,5,NA,NA,NA,NA,NA,2,NA,NA,25,NA,18
"5","Yago Pikachu (LAT)","Vasco","18,12",19,"8,26","3,60","-0,94",20,7,1,3,64,15,22,1,NA,NA,NA,NA,1,NA,NA,10,7,40
"6","Pedro Geromel (ZAG)","Grêmio","15,53",8,"8,13","0,00","0,00",32,NA,NA,4,3,3,NA,NA,NA,NA,NA,NA,1,NA,NA,6,NA,6
"7","Everton (ATA)","Grêmio","16,69",15,"8,10","0,00","0,00",20,7,3,NA,26,21,11,2,NA,NA,NA,NA,4,NA,NA,18,2,35
"8","Gatito Fernández (GOL)","Botafogo","14,65",2,"8,05","0,00","0,00",NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,2,NA,NA,3
"9","Bruno Grassi (GOL)","Grêmio","4,52",1,"8,00","0,00","0,00",NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Arrascaeta (MEI)","Cruzeiro","18,30",13,"8,00","11,30","1,26",24,3,5,NA,30,13,11,1,NA,NA,NA,NA,3,NA,NA,12,2,32
"11","Lucas Kal (ZAG)","São Paulo","5,17",1,"8,00","0,00","0,00",2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Kannemann (ZAG)","Grêmio","12,97",12,"7,82","0,00","0,00",42,NA,NA,8,19,2,1,NA,NA,NA,NA,1,3,NA,NA,14,1,10
"13","Víctor Cuesta (ZAG)","Internacional","18,96",18,"7,73","10,80","1,13",58,2,1,11,16,2,2,NA,NA,NA,NA,NA,6,NA,NA,22,1,41
"14","Evandro (LAT)","Sport","3,86",1,"7,70","0,00","0,00",2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"15","Rafael (GOL)","Cruzeiro","6,53",3,"7,67","0,00","0,00",NA,NA,NA,1,3,NA,NA,NA,7,NA,NA,NA,NA,NA,2,1,NA,NA
"16","Lucas Paquetá (MEI)","Flamengo","22,90",19,"7,36","13,00","1,85",45,6,1,NA,51,13,20,1,NA,NA,NA,NA,4,NA,NA,34,NA,62
"17","Gilberto (ATA)","Bahia","13,07",7,"7,25","0,00","0,00",5,4,NA,NA,13,10,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,8
"18","Pedro (ATA)","Fluminense","15,34",19,"7,18","1,70","-0,46",14,10,2,NA,40,23,11,NA,NA,NA,NA,NA,1,NA,NA,26,3,33
"19","Patrick (MEI)","Internacional","16,60",19,"7,04","-1,30","-1,94",63,4,3,NA,26,8,8,NA,NA,NA,NA,NA,3,NA,NA,34,NA,46
"20","Walter (GOL)","Corinthians","8,82",9,"7,02","5,00","-1,29",1,NA,NA,3,2,NA,NA,NA,20,NA,NA,NA,NA,NA,7,NA,NA,1
"21","Zé Rafael  (MEI)","Bahia","19,32",19,"6,87","8,40","1,18",43,2,1,NA,70,22,19,3,NA,NA,NA,NA,3,NA,NA,36,2,48
"22","Luiz Felipe Scolari (TEC)","Palmeiras","14,27",5,"6,77","7,25","0,78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Gustavo Gómez (ZAG)","Palmeiras","9,66",3,"6,77","4,20","-0,40",5,NA,NA,3,4,1,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,5
"24","Gilberto  (LAT)","Fluminense","9,49",15,"6,68","2,30","-0,98",34,3,2,6,17,7,4,NA,NA,NA,NA,1,3,NA,NA,20,1,41
"25","Ricardo Oliveira (ATA)","Atlético-MG","11,73",20,"6,65","0,50","-0,74",8,9,6,NA,21,21,20,1,NA,NA,NA,NA,2,NA,NA,29,15,31
"26","Ronaldo (GOL)","Vitória","6,46",8,"6,61","13,70","1,46",NA,NA,NA,3,3,NA,NA,NA,21,NA,NA,NA,NA,NA,13,NA,NA,2
"27","Rodrigo Caio (ZAG)","São Paulo","12,76",2,"6,55","0,00","0,00",3,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3
"28","Marcos Rocha (LAT)","Palmeiras","13,05",16,"6,34","5,40","-1,58",58,1,2,6,16,2,2,1,NA,NA,NA,NA,5,NA,NA,36,NA,69
"29","Léo Ceará (ATA)","Vitória","5,93",2,"6,30","10,30","3,36",1,1,NA,NA,9,4,1,NA,NA,NA,NA,NA,1,NA,NA,5,2,1
"30","Trauco (LAT)","Flamengo","6,45",4,"6,30","0,00","0,00",6,NA,2,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,10
"31","Leonardo (LAT)","Grêmio","4,00",7,"6,27","3,60","-0,59",16,NA,1,4,6,2,2,NA,NA,NA,NA,NA,1,NA,NA,10,NA,17
"32","Rodrigo Moledo (ZAG)","Internacional","13,09",15,"6,23","8,10","0,41",27,1,NA,10,15,7,1,NA,NA,NA,NA,NA,3,NA,NA,14,1,19
"33","Renê (LAT)","Flamengo","14,10",19,"6,21","9,20","0,45",51,NA,3,10,17,2,4,NA,NA,NA,NA,NA,3,NA,NA,21,1,71
"34","Willian (ATA)","Palmeiras","11,30",17,"6,18","0,50","-0,93",16,7,2,NA,23,10,10,3,NA,NA,NA,NA,2,NA,NA,30,6,11
"35","Mateus (LAT)","Vitória","3,57",1,"6,10","0,00","0,00",1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"36","Ángel Romero (ATA)","Corinthians","9,98",13,"6,09","0,00","0,00",15,6,2,NA,46,9,4,NA,NA,NA,NA,1,5,NA,NA,17,1,41
"37","Réver (ZAG)","Flamengo","14,99",12,"6,07","1,30","-0,99",11,2,NA,6,14,6,2,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5
"38","Thuler (ZAG)","Flamengo","4,34",7,"6,06","0,00","0,00",13,1,NA,4,2,2,NA,NA,NA,NA,NA,NA,1,NA,NA,6,NA,9
"39","Reinaldo (LAT)","São Paulo","12,82",15,"6,06","11,50","1,33",29,2,1,6,13,16,7,NA,NA,NA,NA,NA,2,NA,NA,25,1,48
"40","Joao Rojas (ATA)","São Paulo","10,09",9,"6,00","2,70","-0,23",15,1,4,NA,12,9,1,NA,NA,NA,NA,NA,1,NA,NA,7,3,13
"41","Vitinho (ATA)","Flamengo","14,02",5,"5,94","2,80","-1,45",15,NA,NA,NA,8,3,8,1,NA,NA,NA,NA,1,NA,NA,9,1,16
