"","Nome","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"1","Luan (ZAG)","Palmeiras","6,24",1,"11,90","0,00","0,00",5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2
"2","Andrey (MEI)","Vasco","7,25",4,"11,57","7,80","-0,37",17,2,1,0,9,3,1,0,0,0,0,0,1,0,0,9,0,6
"3","Róger Guedes (ATA)","Atlético-MG","18,04",11,"10,63","17,80","1,71",9,8,3,0,37,12,10,1,0,0,0,0,2,0,0,12,3,24
"4","Rafael (GOL)","Cruzeiro","7,71",1,"10,50","0,00","0,00",0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0
"5","Arrascaeta (MEI)","Cruzeiro","17,70",5,"9,82","0,00","0,00",13,1,2,0,12,6,7,1,0,0,0,0,1,0,0,10,0,12
"6","Trauco (LAT)","Flamengo","7,34",2,"9,75","0,00","0,00",4,0,2,1,0,0,1,0,0,0,0,0,0,0,0,3,0,4
"7","Yago Pikachu (LAT)","Vasco","19,87",10,"9,26","22,90","4,16",11,5,1,1,31,6,12,1,0,0,0,0,0,0,0,4,5,24
"8","Gustavo Blanco (MEI)","Atlético-MG","19,17",10,"9,26","2,40","-0,95",49,0,4,0,4,5,10,2,0,0,0,0,4,0,0,19,1,23
"9","Lucas Paquetá (MEI)","Flamengo","21,30",9,"8,90","0,00","0,00",30,3,1,0,26,6,9,0,0,0,0,0,3,0,0,15,0,30
"10","Víctor Cuesta (ZAG)","Internacional","19,15",9,"8,85","18,20","1,60",39,1,1,5,7,1,0,0,0,0,0,0,4,0,0,14,1,19
"11","Pedro Geromel (ZAG)","Grêmio","17,65",3,"8,57","0,00","0,00",12,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,2
"12","Ronaldo (GOL)","Vitória","4,03",1,"8,50","0,00","0,00",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"13","Pedro (ATA)","Fluminense","15,59",9,"8,31","11,90","1,55",5,6,2,0,22,6,6,0,0,0,0,0,1,0,0,15,0,14
"14","Ricardo Oliveira (ATA)","Atlético-MG","13,42",10,"8,23","19,80","2,46",5,6,4,0,10,12,10,0,0,0,0,0,2,0,0,14,8,16
"15","Kannemann (ZAG)","Grêmio","14,18",9,"8,21","10,30","-0,06",30,0,0,7,15,2,1,0,0,0,0,1,2,0,0,10,0,8
"16","Gatito Fernández (GOL)","Botafogo","14,65",2,"8,05","0,00","0,00",0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,3
"17","Paolo Guerrero (ATA)","Flamengo","13,78",2,"8,05","0,00","0,00",0,1,1,0,4,4,0,0,0,0,0,0,0,0,0,2,1,2
"18","Thuler (ZAG)","Flamengo","5,26",4,"7,85","10,00","1,27",9,0,0,4,2,1,0,0,0,0,0,0,1,0,0,2,0,3
"19","Thiago Rodrigues (GOL)","Paraná","7,26",6,"7,73","1,20","-2,27",0,0,0,3,1,0,0,0,11,1,0,0,0,0,4,1,0,2
"20","Evandro (LAT)","Sport","3,86",1,"7,70","0,00","0,00",2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"21","Thiago Carleto (LAT)","Atlético-PR","17,48",11,"7,67","1,10","-0,36",13,2,3,4,15,9,12,1,0,0,0,0,2,0,0,6,1,36
"22","Júnior (LAT)","Paraná","7,61",7,"7,59","9,30","0,52",23,0,0,3,16,1,1,0,0,0,0,0,1,0,0,4,0,8
"23","Everton (ATA)","Grêmio","16,06",9,"7,58","9,10","1,18",13,2,3,0,17,16,7,2,0,0,0,0,3,0,0,11,1,20
"24","Arthur (MEI)","Grêmio","15,02",6,"7,53","1,10","-1,14",13,1,1,0,25,1,0,1,0,0,0,0,0,0,0,3,0,7
"25","Diego Alves (GOL)","Flamengo","12,79",9,"7,25","4,70","-0,81",0,0,0,7,1,0,0,0,13,0,0,0,0,0,3,0,0,11
"26","Dedé (ZAG)","Cruzeiro","10,74",9,"7,21","0,60","-1,22",19,2,0,5,7,4,4,0,0,0,0,0,3,0,0,12,1,12
"27","Neilton (ATA)","Vitória","12,57",10,"7,15","3,80","-0,53",18,4,3,0,21,10,2,0,0,0,0,0,2,0,0,13,3,38
"28","Edson (MEI)","Bahia","7,04",2,"6,95","0,00","0,00",9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,2
"29","Renê (LAT)","Flamengo","12,41",10,"6,92","3,90","-0,23",24,0,2,8,7,1,2,0,0,0,0,0,2,0,0,11,1,45
"30","Rodinei (LAT)","Flamengo","14,06",11,"6,87","8,70","0,34",16,0,1,8,16,4,3,0,0,0,0,0,1,0,0,2,1,16
"31","Willian (ATA)","Palmeiras","10,28",10,"6,86","-1,60","-4,14",9,6,0,0,8,4,6,3,0,0,0,0,2,0,0,18,3,6
"32","Egídio (LAT)","Cruzeiro","11,32",8,"6,84","9,20","1,29",24,0,0,5,11,4,0,0,0,0,0,0,1,0,0,11,3,20
"33","Clayson (ATA)","Corinthians","11,94",3,"6,83","0,00","0,00",6,1,1,0,3,1,0,0,0,0,0,0,0,0,0,4,0,6
"34","Durval (ZAG)","Sport","6,27",2,"6,75","0,00","0,00",2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","Zé Rafael  (MEI)","Bahia","17,25",11,"6,70","0,40","-1,75",26,1,0,0,35,12,11,3,0,0,0,0,2,0,0,20,1,27
"36","Vinicius Junior (ATA)","Flamengo","15,93",11,"6,62","3,70","-0,80",12,4,3,0,21,6,9,0,0,0,0,0,2,0,0,8,1,33
"37","Matheus Fernandes (MEI)","Botafogo","15,85",9,"6,62","17,30","2,29",39,0,1,0,12,5,1,1,0,0,0,0,3,0,0,10,1,22
"38","Rodriguinho (MEI)","Corinthians","20,69",8,"6,58","0,60","-1,27",5,4,2,0,20,4,3,0,0,0,0,0,0,0,0,14,2,19
"39","Rodrigo Caio (ZAG)","São Paulo","12,76",2,"6,55","0,00","0,00",3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,3
"40","Gilberto  (LAT)","Fluminense","9,26",9,"6,53","7,80","1,39",16,2,2,3,14,5,2,0,0,0,0,1,1,0,0,10,1,24
"41","Leonardo (LAT)","Grêmio","2,90",2,"6,50","0,00","0,00",5,0,0,1,3,0,1,0,0,0,0,0,0,0,0,2,0,4
"42","Bruno Cortez (LAT)","Grêmio","16,06",10,"6,43","9,10","1,23",23,0,0,8,16,0,1,0,0,0,0,0,1,0,0,18,0,28
"43","Diego Souza (MEI)","São Paulo","11,56",7,"6,37","1,80","-0,32",3,4,1,0,11,5,3,0,0,0,0,0,0,0,0,8,3,15
"44","Patrick (MEI)","Internacional","15,48",10,"6,36","2,10","-0,65",32,2,1,0,13,6,4,0,0,0,0,0,2,0,0,20,0,25
"45","Zeca (LAT)","Internacional","10,87",5,"6,36","0,00","0,00",10,0,1,3,2,2,1,0,0,0,0,0,0,0,0,4,1,15
"46","Réver (ZAG)","Flamengo","16,24",5,"6,30","0,00","0,00",1,1,0,3,7,4,1,0,0,0,0,0,0,0,0,0,0,3
"47","Maurício Barbieri (TEC)","Flamengo","14,07",11,"6,29","6,15","-0,18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","Leonardo Valencia (MEI)","Botafogo","11,00",9,"6,28","14,60","1,85",10,2,3,0,14,10,4,1,0,0,0,0,1,0,0,5,0,26
"49","Rodrigo Moledo (ZAG)","Internacional","11,87",9,"6,21","2,00","-0,97",19,1,0,5,8,4,1,0,0,0,0,0,2,0,0,13,1,10
"50","Rodrygo (ATA)","Santos","12,02",10,"6,18","1,70","-1,26",4,5,2,0,20,6,6,0,0,0,0,0,0,0,0,14,1,29
"51","Nino Paraíba (LAT)","Bahia","13,34",8,"6,15","6,10","0,22",24,0,1,2,13,3,3,0,0,0,0,0,2,0,0,8,0,21
"52","Marcos Rocha (LAT)","Palmeiras","12,38",10,"6,11","4,90","-0,16",33,1,1,4,10,0,0,1,0,0,0,0,3,0,0,21,0,43
"53","Balbuena (ZAG)","Corinthians","16,36",8,"6,11","0,00","0,00",26,0,0,3,6,3,0,0,0,0,0,0,1,0,0,5,0,20
"54","Sidcley (LAT)","Corinthians","14,47",10,"6,07","5,30","0,32",20,1,1,4,10,1,0,1,0,0,0,0,1,0,0,5,0,22
"55","Richard (MEI)","Fluminense","17,24",11,"5,98","10,40","1,67",38,1,1,0,19,2,2,0,0,0,0,0,2,0,0,13,0,24
"56","Serginho (MEI)","América-MG","17,07",11,"5,93","0,10","-0,67",11,4,3,0,13,8,6,0,0,0,0,0,1,0,0,15,1,28
"57","Gabriel (ATA)","Santos","14,45",10,"5,84","10,50","0,97",9,4,1,0,18,17,5,0,0,0,0,0,1,0,0,14,6,29
"58","Léo Duarte (ZAG)","Flamengo","8,84",9,"5,83","4,50","0,16",12,0,0,7,3,3,1,0,0,0,0,0,1,0,0,3,0,7
"59","Paulo André (ZAG)","Atlético-PR","8,08",2,"5,80","0,00","0,00",3,0,0,2,4,0,0,0,0,0,0,0,1,0,0,4,0,3
"60","Léo Moura (LAT)","Grêmio","11,18",6,"5,80","4,20","-0,67",3,0,1,5,7,0,0,0,0,0,0,0,0,0,0,4,0,4
"61","Maílson (GOL)","Sport","5,14",3,"5,80","0,00","0,00",0,0,1,1,0,0,0,0,4,0,0,0,0,0,2,0,0,2
"62","Lucca (ATA)","Internacional","10,06",8,"5,75","8,50","0,97",8,1,3,0,21,7,4,1,0,0,0,0,2,0,0,7,0,18
"63","Éder Militão (LAT)","São Paulo","13,34",8,"5,72","8,20","0,78",18,1,0,4,8,6,2,0,0,0,0,0,4,0,0,14,0,18
"64","Fábio (GOL)","Cruzeiro","10,87",10,"5,71","-1,30","-0,68",0,0,0,5,0,0,0,0,15,0,0,0,0,0,6,0,0,3
"65","Cuéllar (MEI)","Flamengo","11,18",8,"5,60","7,80","-0,60",38,0,1,0,3,1,1,0,0,0,0,1,2,0,0,15,0,14
"66","Walter (GOL)","Corinthians","8,72",6,"5,58","11,50","2,04",0,0,0,2,1,0,0,0,11,0,0,0,0,0,5,0,0,0
"67","Tomás Andrade (MEI)","Atlético-MG","6,42",4,"5,55","11,50","0,93",4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,6
"68","Dudu (ATA)","Palmeiras","17,08",10,"5,52","15,90","2,51",7,3,3,0,31,5,8,0,0,0,0,0,5,0,0,8,2,28
"69","Weverton (GOL)","Palmeiras","8,88",1,"5,50","0,00","0,00",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","Jonas (MEI)","Flamengo","7,85",6,"5,50","0,00","0,00",25,0,0,0,2,4,1,0,0,0,0,0,2,0,0,7,0,8
"71","Leandro Carvalho (ATA)","Botafogo","5,86",1,"5,50","0,00","0,00",2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1
