"","Nome","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"1","Rafael (GOL)","Cruzeiro","8,66",2,"11,75","13,00","0,95",NA,NA,NA,1,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,1,1,NA,NA
"2","Carlos Augusto (LAT)","Corinthians","2,68",1,"10,00","10,00","1,68",3,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"3","Andrey (MEI)","Vasco","8,19",9,"9,41","2,80","-1,57",33,3,1,NA,13,13,4,NA,NA,NA,NA,NA,1,NA,NA,18,NA,15
"4","Yago Pikachu (LAT)","Vasco","19,42",15,"8,92","12,10","0,21",14,7,1,2,53,11,18,1,NA,NA,NA,NA,1,NA,NA,6,6,34
"5","Gustavo Blanco (MEI)","Atlético-MG","19,53",11,"8,86","0,00","0,00",51,NA,4,NA,4,5,10,3,NA,NA,NA,NA,4,NA,NA,20,1,25
"6","Marcelo Lomba (GOL)","Internacional","8,97",3,"8,63","13,70","1,50",NA,NA,NA,2,1,NA,NA,NA,6,NA,NA,NA,NA,NA,1,NA,NA,2
"7","Arrascaeta (MEI)","Cruzeiro","17,29",10,"8,55","3,20","0,04",17,3,4,NA,22,11,9,1,NA,NA,NA,NA,2,NA,NA,11,1,25
"8","Pedro Geromel (ZAG)","Grêmio","16,04",6,"8,48","0,00","0,00",25,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,1,NA,NA,4,NA,5
"9","Everton (ATA)","Grêmio","18,24",12,"8,12","0,00","0,00",19,4,3,NA,22,20,9,2,NA,NA,NA,NA,3,NA,NA,16,2,23
"10","Gatito Fernández (GOL)","Botafogo","14,65",2,"8,05","0,00","0,00",NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,2,NA,NA,3
"11","Lucas Kal (ZAG)","São Paulo","5,17",1,"8,00","0,00","0,00",2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Víctor Cuesta (ZAG)","Internacional","18,30",15,"7,97","5,30","-0,76",53,2,1,8,13,1,NA,NA,NA,NA,NA,NA,5,NA,NA,18,1,29
"13","Pedro (ATA)","Fluminense","16,83",15,"7,97","10,80","1,44",9,10,2,NA,33,15,9,NA,NA,NA,NA,NA,1,NA,NA,23,2,29
