"","Nome","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"1","Rodriguinho (MEI)","Corinthians","27,59",2,"16,20","15,90","4,51",2,3,1,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,8
"2","Otero (MEI)","Atlético-MG","19,83",2,"13,90","11,30","5,02",3,1,NA,NA,9,4,3,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA
"3","Sidcley (LAT)","Corinthians","15,15",2,"12,75","24,00","8,61",5,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"4","Bruno Alves (ZAG)","São Paulo","11,16",1,"12,20","0,00","0,00",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"5","Gustavo Blanco (MEI)","Atlético-MG","16,08",2,"11,05","6,70","3,40",7,NA,2,NA,1,NA,3,1,NA,NA,NA,NA,1,NA,NA,6,1,NA
"6","Serginho (MEI)","América-MG","17,66",2,"10,75","3,60","1,88",3,2,NA,NA,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,6
"7","Lucas Paquetá (MEI)","Flamengo","19,90",2,"10,60","9,10","1,92",5,1,NA,NA,10,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,6
"8","Arboleda (ZAG)","São Paulo","12,17",1,"10,50","10,50","1,17",3,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"9","Gabriel (MEI)","Corinthians","12,17",1,"10,50","10,50","1,17",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA
"10","Thiago Carleto (LAT)","Atlético-PR","15,58",2,"10,20","7,20","3,04",2,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,11
"11","Richard (MEI)","Fluminense","16,53",2,"10,10","4,00","1,92",7,1,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2
"12","Balbuena (ZAG)","Corinthians","19,26",2,"9,55","11,90","1,90",10,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3
"13","Réver (ZAG)","Flamengo","18,02",2,"9,20","8,30","1,42",1,1,NA,1,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"14","Bruno Cortez (LAT)","Grêmio","15,48",2,"9,10","8,20","2,39",6,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,6
"15","Nico López (ATA)","Internacional","17,41",2,"8,95","-0,90","-0,36",1,2,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8
"16","Matheus Fernandes (MEI)","Botafogo","13,31",2,"8,90","9,40","3,39",9,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3
"17","Jailson (GOL)","Palmeiras","15,07",2,"8,55","14,00","3,29",NA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,3
"18","Tiago Alves (ZAG)","Ceará","5,70",1,"8,50","8,50","2,70",2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Luan (ATA)","Grêmio","18,32",1,"8,40","8,40","-2,68",1,NA,NA,NA,3,4,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,5
"20","Rodrigo Moledo (ZAG)","Internacional","9,16",1,"8,30","0,00","0,00",1,NA,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"21","Nino Paraíba (LAT)","Bahia","12,35",2,"8,25","9,30","3,26",6,NA,NA,1,7,1,2,NA,NA,NA,NA,NA,1,NA,NA,2,NA,4
"22","Liziero (LAT)","São Paulo","5,57",1,"8,20","8,20","2,57",2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"23","Henrique Dourado (ATA)","Flamengo","17,76",2,"8,20","15,90","2,26",NA,2,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2
"24","Clayson (ATA)","Corinthians","12,48",2,"8,15","12,70","3,80",3,1,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,5
"25","Gatito Fernández (GOL)","Botafogo","14,65",2,"8,05","13,00","2,87",NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,2,NA,NA,3
"26","Carlinhos (LAT)","América-MG","14,56",2,"7,90","-0,10","0,16",1,1,NA,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3
"27","Víctor Cuesta (ZAG)","Internacional","14,57",2,"7,90","2,70","0,72",9,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,4
"28","Patrick (MEI)","Internacional","14,71",2,"7,90","5,10","1,14",8,NA,1,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,5
"29","Marcelo Grohe (GOL)","Grêmio","18,65",2,"7,85","4,70","-0,64",NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1
"30","Luan (ATA)","Atlético-MG","14,32",2,"7,85","4,60","1,16",12,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1,5
"31","Wellington Paulista (ATA)","Chapecoense","13,42",2,"7,75","8,20","2,19",2,2,NA,NA,3,3,NA,NA,NA,NA,NA,NA,1,NA,NA,6,3,3
"32","Vanderlei (GOL)","Santos","20,44",2,"7,75","7,50","-0,92",NA,NA,NA,1,1,NA,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA
"33","Thiago Heleno (ZAG)","Atlético-PR","10,99",1,"7,70","7,70","-0,01",2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"34","Guerra (MEI)","Palmeiras","10,06",1,"7,60","0,00","0,00",1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4
"35","Éder Militão (LAT)","São Paulo","12,34",2,"7,50","8,80","2,56",5,NA,NA,2,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,6
"36","Everton (ATA)","Grêmio","13,16",2,"7,50","5,00","1,45",2,NA,1,NA,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"37","Petros (MEI)","São Paulo","10,20",1,"7,50","7,50","0,20",5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"38","Vinicius Junior (ATA)","Flamengo","13,30",2,"7,40","8,40","2,00",1,NA,2,NA,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,9
"39","Borja (ATA)","Palmeiras","13,68",1,"7,40","7,40","-1,32",3,NA,NA,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3
"40","Fábio Carille (TEC)","Corinthians","14,36",2,"7,26","10,34","1,83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Christian (MEI)","América-MG","11,21",2,"7,20","3,70","1,77",7,NA,NA,NA,6,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3
"42","Zé Rafael  (MEI)","Bahia","17,11",2,"7,20","7,70","0,09",5,NA,NA,NA,7,3,3,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,2
"43","Norberto  (LAT)","América-MG","11,24",2,"7,15","3,40","1,66",7,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4
"44","Ayrton Lucas (LAT)","Fluminense","10,86",2,"7,10","9,90","3,08",4,NA,NA,1,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2
"45","Léo Moura (LAT)","Grêmio","11,58",2,"7,10","5,00","1,80",2,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"46","Yago (MEI)","Vitória","12,41",2,"7,05","6,60","1,73",5,1,NA,NA,6,2,1,NA,NA,NA,NA,NA,1,NA,NA,5,NA,9
"47","Yago Pikachu (LAT)","Vasco","14,15",2,"6,95","1,10","-0,18",1,1,NA,NA,4,2,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,8
"48","Léo Cittadini (MEI)","Santos","10,44",2,"6,85","7,20","2,52",9,NA,NA,NA,4,2,1,NA,NA,NA,NA,NA,1,NA,NA,3,1,2
"49","Fagner (LAT)","Corinthians","14,11",2,"6,75","13,00","2,05",5,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,10
"50","Nikão (MEI)","Atlético-PR","13,63",2,"6,70","2,90","0,20",2,1,NA,NA,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,6
"51","Pedro Geromel (ZAG)","Grêmio","16,90",1,"6,70","6,70","-3,10",3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1
"52","Sidão (GOL)","São Paulo","12,47",2,"6,70","7,70","1,65",NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,2
"53","Ricardo Oliveira (ATA)","Atlético-MG","7,65",2,"6,60","14,20","4,89",2,1,1,NA,3,3,NA,NA,NA,NA,NA,NA,1,NA,NA,4,3,4
"54","Raphael Alemão (ATA)","Paraná","4,19",1,"6,60","6,60","2,19",3,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"55","Rodrigo Caio (ZAG)","São Paulo","12,76",2,"6,55","9,00","1,67",3,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3
"56","Éverson (GOL)","Ceará","9,57",2,"6,50","11,00","3,37",NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,2,NA,NA,NA
"57","Emerson Sheik (ATA)","Corinthians","9,99",1,"6,50","0,00","0,00",NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Fabiano (LAT)","Internacional","7,85",1,"6,40","0,00","0,00",2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2
"59","Jori (GOL)","América-MG","10,56",2,"6,35","-1,00","0,43",NA,NA,NA,1,1,NA,NA,NA,4,NA,NA,NA,NA,NA,2,1,NA,1
"60","Wagner (MEI)","Vasco","13,00",2,"6,25","-0,10","-0,50",2,1,NA,NA,4,1,3,NA,NA,NA,NA,NA,1,NA,NA,2,2,3
"61","Jonathan (LAT)","Atlético-PR","9,78",1,"6,20","0,00","0,00",1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"62","Arthur (MEI)","Grêmio","15,08",2,"6,20","0,70","-1,25",6,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2
"63","Dudu (ATA)","Palmeiras","17,96",2,"6,15","10,40","-0,57",1,1,1,NA,4,NA,1,NA,NA,NA,NA,NA,1,NA,NA,2,NA,8
"64","Rhayner (ATA)","Vitória","9,81",2,"6,15","5,90","1,96",3,NA,1,NA,7,3,NA,1,NA,NA,NA,NA,1,NA,NA,4,NA,7
"65","Pedro (ATA)","Fluminense","10,08",2,"6,05","6,10","1,81",NA,1,1,NA,2,1,2,NA,NA,NA,NA,NA,1,NA,NA,5,NA,2
"66","Diego Aguirre (TEC)","São Paulo","10,86",2,"6,04","6,63","1,58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
