"","Nome","Posição","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"1","Nico López","ATA","Internacional","17,77",1,"18,80","18,80","10,77",1,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,5
"2","Serginho","MEI","América-MG","15,78",1,"17,90","17,90","10,78",2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3
"3","Otero","MEI","Atlético-MG","14,81",1,"16,50","16,50","9,81",3,1,0,0,2,2,2,0,0,0,0,0,0,0,0,1,1,0
"4","Rodriguinho","MEI","Corinthians","23,08",1,"16,50","16,50","6,08",1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,5
"5","Richard","MEI","Fluminense","14,61",1,"16,20","16,20","9,61",5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
"6","Carlinhos","LAT","América-MG","14,40",1,"15,90","15,90","9,40",1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2
"7","Gustavo Blanco","MEI","Atlético-MG","12,68",1,"15,40","15,40","9,68",4,0,1,0,1,0,2,1,0,0,0,0,0,0,0,3,0,0
"8","Jory","GOL","América-MG","10,13",1,"13,70","13,70","9,13",0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1
"9","Thiago Carleto","LAT","Atlético-PR","12,54",1,"13,20","13,20","7,54",0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,6
"10","Víctor Cuesta","ZAG","Internacional","13,85",1,"13,10","13,10","6,85",6,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,3
"11","Yago Pikachu","LAT","Vasco","14,33",1,"12,80","12,80","6,33",1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,5
"12","Matheus Rossetto","MEI","Atlético-PR","12,88",1,"12,70","12,70","6,88",3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"13","Wagner","MEI","Vasco","13,50",1,"12,60","12,60","6,50",2,1,0,0,3,0,2,0,0,0,0,0,0,0,0,2,2,1
"14","Bruno Alves","ZAG","São Paulo","11,16",1,"12,20","12,20","7,16",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"15","Lucas Paquetá","MEI","Flamengo","17,98",1,"12,10","12,10","3,98",1,1,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0,2
"16","Luan","ATA","América-MG","12,88",1,"11,70","11,70","5,88",5,0,1,0,2,2,1,0,0,0,0,0,1,0,0,3,1,2
"17","Arthur","MEI","Grêmio","16,33",1,"11,70","11,70","4,33",6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1
"18","Luan","ATA","Atlético-MG","13,16",1,"11,10","11,10","5,16",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"19","Marcelo Grohe","GOL","Grêmio","19,29",1,"11,00","11,00","2,29",0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"20","Norberto ","LAT","América-MG","9,58",1,"10,90","10,90","6,58",4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"21","Christian","MEI","América-MG","9,44",1,"10,70","10,70","6,44",6,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2
"22","Patrick","MEI","Internacional","13,57",1,"10,70","10,70","4,57",4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,2
"23","Nikão","MEI","Atlético-PR","13,43",1,"10,50","10,50","4,43",0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1,3
"24","Réver","ZAG","Flamengo","16,60",1,"10,10","10,10","2,60",0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2
"25","Enderson Moreira","TEC","América-MG","8,99",1,"10,05","10,05","5,99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Bruno Cortez","LAT","Grêmio","13,09",1,"10,00","10,00","4,09",4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,5
"27","Everton","ATA","Grêmio","11,71",1,"10,00","10,00","4,71",2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
"28","Arrascaeta","MEI","Cruzeiro","17,15",1,"9,90","9,90","2,15",4,0,0,0,5,1,3,0,0,0,0,0,0,0,0,3,0,5
"29","Messias","ZAG","América-MG","9,37",1,"9,60","9,60","5,37",4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3
"30","Éderson","ATA","Atlético-PR","9,92",1,"9,40","9,40","4,92",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
"31","Igor Rabello","ZAG","Botafogo","13,92",1,"9,20","9,20","2,92",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"32","Léo Moura","LAT","Grêmio","9,78",1,"9,20","9,20","4,78",2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,1
"33","Denilson","ATA","Vitória","11,09",1,"9,10","9,10","4,09",1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,3
"34","Rodrygo","ATA","Santos","11,57",1,"8,80","8,80","3,57",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3
"35","Pablo","ATA","Atlético-PR","8,75",1,"8,70","8,70","4,75",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2
"36","Edenílson","MEI","Internacional","10,75",1,"8,60","8,60","3,75",3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"37","Lucas Veríssimo","ZAG","Santos","9,30",1,"8,50","8,50","4,30",2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"38","Dodô","LAT","Santos","12,75",1,"8,50","8,50","2,75",2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,4
"39","Matheus Fernandes","MEI","Botafogo","9,92",1,"8,40","8,40","3,92",5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"40","Rodrigo Moledo","ZAG","Internacional","9,16",1,"8,30","8,30","4,16",1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0
"41","Iago","LAT","Internacional","9,85",1,"8,30","8,30","3,85",3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,4
"42","Rodrigo Dourado","MEI","Internacional","11,09",1,"8,10","8,10","3,09",6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,2
"43","Vanderlei","GOL","Santos","21,36",1,"8,00","8,00","-1,64",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"44","Odair Hellmann","TEC","Internacional","8,92",1,"7,95","7,95","3,92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","Guerra","MEI","Palmeiras","10,06",1,"7,60","7,60","3,06",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,4
