"","Nome","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"1","Rafael (GOL)","Cruzeiro","7,71",1,"10,50","0,00","0,00",NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"2","Andrey (MEI)","Vasco","9,76",8,"10,24","14,70","1,62",33,3,1,NA,10,11,4,NA,NA,NA,NA,NA,1,NA,NA,18,NA,14
"3","Gilberto (ATA)","Bahia","12,66",3,"9,83","8,90","0,38",2,3,NA,NA,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4
"4","Marcelo Cirino (ATA)","Atlético-PR","7,22",1,"9,70","9,70","1,22",1,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2
"5","Arrascaeta (MEI)","Cruzeiro","17,25",9,"9,15","4,20","0,45",17,3,3,NA,20,11,9,1,NA,NA,NA,NA,1,NA,NA,10,1,24
"6","Gustavo Blanco (MEI)","Atlético-MG","19,53",11,"8,86","0,00","0,00",51,NA,4,NA,4,5,10,3,NA,NA,NA,NA,4,NA,NA,20,1,25
"7","Yago Pikachu (LAT)","Vasco","19,21",14,"8,69","14,80","1,08",13,6,1,2,48,11,17,1,NA,NA,NA,NA,1,NA,NA,5,6,32
"8","Pedro Geromel (ZAG)","Grêmio","16,04",6,"8,48","0,00","0,00",25,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,1,NA,NA,4,NA,5
"9","Lucas Paquetá (MEI)","Flamengo","22,95",14,"8,22","12,60","1,64",38,5,1,NA,33,10,14,1,NA,NA,NA,NA,3,NA,NA,23,NA,46
"10","Víctor Cuesta (ZAG)","Internacional","19,06",14,"8,16","12,50","1,52",52,2,1,7,13,1,NA,NA,NA,NA,NA,NA,5,NA,NA,18,1,25
