"","Nome","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"1","Rafael (GOL)","Cruzeiro","7,71",1,"10,50","0,00","0,00",NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"2","Gilberto (ATA)","Bahia","12,28",2,"10,30","0,00","0,00",2,2,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2
"3","Arrascaeta (MEI)","Cruzeiro","16,80",8,"9,77","-0,10","-2,38",16,3,3,NA,19,9,7,1,NA,NA,NA,NA,1,NA,NA,10,1,18
"4","Ronaldo (GOL)","Vitória","5,06",2,"9,75","11,00","1,03",NA,NA,NA,2,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Andrey (MEI)","Vasco","8,14",7,"9,60","0,00","0,00",24,3,1,NA,10,8,4,NA,NA,NA,NA,NA,1,NA,NA,18,NA,10
"6","Gustavo Blanco (MEI)","Atlético-MG","19,53",11,"8,86","0,00","0,00",51,NA,4,NA,4,5,10,3,NA,NA,NA,NA,4,NA,NA,20,1,25
"7","Pedro Geromel (ZAG)","Grêmio","16,04",6,"8,48","3,70","-0,18",25,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,1,NA,NA,4,NA,5
"8","Yago Pikachu (LAT)","Vasco","18,13",13,"8,22","0,00","0,00",12,5,1,2,43,9,16,1,NA,NA,NA,NA,1,NA,NA,5,6,32
"9","Everton (ATA)","Grêmio","18,24",12,"8,12","17,70","2,61",19,4,3,NA,22,20,9,2,NA,NA,NA,NA,3,NA,NA,16,2,23
"10","Gatito Fernández (GOL)","Botafogo","14,65",2,"8,05","0,00","0,00",NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,2,NA,NA,3
"11","Pedro (ATA)","Fluminense","14,85",13,"8,02","0,00","-2,96",6,9,2,NA,29,14,8,NA,NA,NA,NA,NA,1,NA,NA,23,2,25
