"","Nome","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"1","Osman (ATA)","Chapecoense","5,24",1,"10,80","10,80","1,24",2,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"2","Pedro Geromel (ZAG)","Grêmio","18,08",4,"10,65","16,90","0,43",20,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,4
"3","Arrascaeta (MEI)","Cruzeiro","18,78",6,"10,63","14,70","1,08",14,2,3,NA,13,7,7,1,NA,NA,NA,NA,1,NA,NA,10,1,14
"4","Rafael (GOL)","Cruzeiro","7,71",1,"10,50","0,00","0,00",NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"5","Andrey (MEI)","Vasco","7,14",6,"10,07","1,40","-1,49",21,3,1,NA,10,6,3,NA,NA,NA,NA,NA,1,NA,NA,17,NA,10
"6","Gustavo Blanco (MEI)","Atlético-MG","19,53",11,"8,86","0,00","0,00",51,NA,4,NA,4,5,10,3,NA,NA,NA,NA,4,NA,NA,20,1,25
"7","Joao Rojas (ATA)","São Paulo","7,08",1,"8,70","8,70","3,08",2,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"8","Ronaldo (GOL)","Vitória","4,03",1,"8,50","0,00","0,00",NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Víctor Cuesta (ZAG)","Internacional","17,66",11,"8,45","3,20","-0,76",43,2,1,5,8,1,NA,NA,NA,NA,NA,NA,4,NA,NA,15,1,21
"10","Yago Pikachu (LAT)","Vasco","17,00",12,"8,21","1,20","-0,40",12,5,1,1,37,8,14,1,NA,NA,NA,NA,NA,NA,NA,5,6,29
"11","Kannemann (ZAG)","Grêmio","14,18",9,"8,21","0,00","0,00",30,NA,NA,7,15,2,1,NA,NA,NA,NA,1,2,NA,NA,10,NA,8
"12","Lucas Paquetá (MEI)","Flamengo","22,28",11,"8,13","8,30","1,56",33,3,1,NA,30,6,11,1,NA,NA,NA,NA,3,NA,NA,16,NA,37
"13","Gatito Fernández (GOL)","Botafogo","14,65",2,"8,05","0,00","0,00",NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,2,NA,NA,3
"14","Gilberto (ATA)","Bahia","9,02",1,"7,90","7,90","2,02",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1
"15","Ricardo Oliveira (ATA)","Atlético-MG","11,22",12,"7,76","0,20","-1,42",7,6,5,NA,14,13,12,NA,NA,NA,NA,NA,2,NA,NA,17,8,19
"16","Pedro (ATA)","Fluminense","15,60",11,"7,75","8,60","1,49",6,7,2,NA,28,7,7,NA,NA,NA,NA,NA,1,NA,NA,20,NA,19
"17","Thuler (ZAG)","Flamengo","5,26",5,"7,72","0,00","0,00",9,1,NA,4,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,4
"18","Evandro (LAT)","Sport","3,86",1,"7,70","0,00","0,00",2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"19","Mena (LAT)","Bahia","11,01",4,"7,62","0,00","0,00",7,1,NA,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,10
"20","Patrick (MEI)","Internacional","19,01",11,"7,62","0,00","0,00",38,3,2,NA,14,6,4,NA,NA,NA,NA,NA,3,NA,NA,20,NA,26
"21","Everton (ATA)","Grêmio","16,16",10,"7,55","7,30","0,10",15,2,3,NA,20,18,8,2,NA,NA,NA,NA,3,NA,NA,11,1,20
"22","Zé Rafael  (MEI)","Bahia","19,49",13,"7,39","8,40","-0,25",36,1,NA,NA,42,14,15,3,NA,NA,NA,NA,2,NA,NA,22,1,32
"23","Renê (LAT)","Flamengo","13,70",12,"7,25","6,50","-0,26",35,NA,2,8,14,2,3,NA,NA,NA,NA,NA,2,NA,NA,14,1,54
"24","Willian (ATA)","Palmeiras","12,20",12,"7,17","5,50","-0,54",10,7,1,NA,13,5,8,3,NA,NA,NA,NA,2,NA,NA,23,3,7
"25","Paulo Miranda (ZAG)","Grêmio","8,37",3,"7,10","0,00","0,00",8,NA,NA,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,5
"26","Edson (MEI)","Bahia","7,04",2,"6,95","0,00","0,00",9,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2
"27","Cássio (GOL)","Corinthians","13,27",6,"6,90","20,00","2,43",NA,NA,NA,3,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,3,NA,NA,2
"28","Clayson (ATA)","Corinthians","11,94",3,"6,83","0,00","0,00",6,1,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,6
"29","Júnior (LAT)","Paraná","7,21",9,"6,81","3,30","0,00",27,NA,1,3,22,2,1,NA,NA,NA,NA,NA,2,NA,NA,9,NA,15
"30","Thiago Rodrigues (GOL)","Paraná","8,05",8,"6,80","4,00","0,26",NA,NA,NA,3,1,NA,NA,NA,15,1,NA,NA,NA,NA,6,1,NA,2
"31","Durval (ZAG)","Sport","6,27",2,"6,75","0,00","0,00",2,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Éder Militão (LAT)","São Paulo","15,01",9,"6,68","14,40","1,67",24,1,NA,5,9,7,2,NA,NA,NA,NA,NA,4,NA,NA,14,NA,21
"33","Paolo Guerrero (ATA)","Flamengo","12,30",3,"6,67","3,90","-1,48",1,1,1,NA,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,4,1,3
"34","Léo Moura (LAT)","Grêmio","13,12",8,"6,66","11,10","1,21",6,NA,2,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,9
"35","Neilton (ATA)","Vitória","12,21",11,"6,65","0,00","0,00",19,4,3,NA,27,10,3,NA,NA,NA,NA,NA,3,NA,NA,14,3,43
"36","Bruno Cortez (LAT)","Grêmio","16,19",12,"6,61","4,90","-0,43",26,NA,NA,10,19,NA,1,NA,NA,NA,NA,NA,1,NA,NA,18,NA,31
"37","Rodrigo Caio (ZAG)","São Paulo","12,76",2,"6,55","0,00","0,00",3,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3
"38","Matheus Fernandes (MEI)","Botafogo","15,11",11,"6,54","7,90","0,99",49,NA,1,NA,14,5,2,1,NA,NA,NA,NA,4,NA,NA,14,1,25
"39","Nino Paraíba (LAT)","Bahia","14,23",9,"6,53","0,00","0,00",28,NA,1,3,14,3,3,NA,NA,NA,NA,NA,2,NA,NA,10,NA,24
"40","Gilberto  (LAT)","Fluminense","9,26",9,"6,53","0,00","0,00",16,2,2,3,14,5,2,NA,NA,NA,NA,1,1,NA,NA,10,1,24
"41","Leonardo (LAT)","Grêmio","2,90",2,"6,50","0,00","0,00",5,NA,NA,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4
"42","Trauco (LAT)","Flamengo","5,71",3,"6,47","-0,10","-1,63",4,NA,2,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,6
"43","Diego Alves (GOL)","Flamengo","12,45",11,"6,42","1,00","-0,39",NA,NA,NA,7,1,NA,NA,NA,17,NA,NA,NA,1,NA,5,NA,NA,13
"44","Fagner (LAT)","Corinthians","12,30",4,"6,42","12,50","0,60",7,NA,2,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,17
"45","Egídio (LAT)","Cruzeiro","10,60",9,"6,41","3,00","-0,72",28,NA,NA,5,11,5,NA,NA,NA,NA,NA,NA,1,NA,NA,14,4,26
