"","Nome","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"1","Marcelo Lomba (GOL)","Internacional","9,40",4,"9,90","13,70","0,43",NA,NA,NA,3,1,NA,NA,NA,9,NA,NA,NA,NA,NA,1,NA,NA,3
"2","Gustavo Blanco (MEI)","Atlético-MG","19,53",11,"8,86","0,00","0,00",51,NA,4,NA,4,5,10,3,NA,NA,NA,NA,4,NA,NA,20,1,25
"3","Yago Pikachu (LAT)","Vasco","17,85",16,"8,54","2,80","-1,57",14,7,1,2,56,12,20,1,NA,NA,NA,NA,1,NA,NA,7,7,37
"4","Andrey (MEI)","Vasco","7,70",10,"8,50","0,30","-0,49",34,3,1,NA,15,15,4,NA,NA,NA,NA,NA,2,NA,NA,21,NA,16
"5","Pedro Geromel (ZAG)","Grêmio","16,04",6,"8,48","0,00","0,00",25,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,1,NA,NA,4,NA,5
"6","Gilberto (ATA)","Bahia","13,29",5,"8,06","9,30","1,63",2,4,NA,NA,10,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,6
"7","Gatito Fernández (GOL)","Botafogo","14,65",2,"8,05","0,00","0,00",NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,2,NA,NA,3
"8","Everton (ATA)","Grêmio","16,60",13,"8,00","6,60","-1,64",19,5,3,NA,22,20,9,2,NA,NA,NA,NA,3,NA,NA,17,2,26
"9","Lucas Kal (ZAG)","São Paulo","5,17",1,"8,00","0,00","0,00",2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Arrascaeta (MEI)","Cruzeiro","16,84",11,"7,93","1,70","-0,45",18,3,4,NA,23,12,10,1,NA,NA,NA,NA,3,NA,NA,11,1,26
"11","Pedro (ATA)","Fluminense","15,95",16,"7,80","5,20","-0,88",11,10,2,NA,35,16,10,NA,NA,NA,NA,NA,1,NA,NA,24,2,30
"12","Kannemann (ZAG)","Grêmio","13,09",10,"7,73","0,00","0,00",34,NA,NA,7,18,2,1,NA,NA,NA,NA,1,3,NA,NA,13,NA,10
"13","Gustavo Gómez (ZAG)","Palmeiras","8,92",1,"7,70","7,70","0,92",2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"14","Evandro (LAT)","Sport","3,86",1,"7,70","0,00","0,00",2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"15","Rafael (GOL)","Cruzeiro","6,53",3,"7,67","-0,50","-2,13",NA,NA,NA,1,3,NA,NA,NA,7,NA,NA,NA,NA,NA,2,1,NA,NA
"16","Víctor Cuesta (ZAG)","Internacional","17,79",16,"7,67","3,10","-0,51",55,2,1,9,14,1,NA,NA,NA,NA,NA,NA,6,NA,NA,20,1,37
"17","Lucas Paquetá (MEI)","Flamengo","21,23",16,"7,49","1,60","-0,53",40,5,1,NA,43,11,16,1,NA,NA,NA,NA,4,NA,NA,26,NA,56
"18","Ángel Romero (ATA)","Corinthians","11,14",11,"7,45","0,00","0,00",14,6,2,NA,43,9,3,NA,NA,NA,NA,NA,5,NA,NA,15,1,38
"19","Zé Rafael  (MEI)","Bahia","18,92",16,"7,37","4,40","0,02",40,2,1,NA,54,18,17,3,NA,NA,NA,NA,3,NA,NA,31,1,39
"20","Patrick (MEI)","Internacional","17,38",16,"7,35","4,10","-0,33",59,3,3,NA,21,7,6,NA,NA,NA,NA,NA,3,NA,NA,29,NA,42
"21","Emerson Santos (ZAG)","Internacional","3,65",1,"7,20","0,00","0,00",1,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"22","Thuler (ZAG)","Flamengo","4,91",6,"7,00","0,00","0,00",12,1,NA,4,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,4,NA,6
