"","Nome","Posição","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"1","Arrascaeta","MEI","Cruzeiro","19,18",7,"11,18","14,50","0,40",16,3,3,0,18,9,7,1,0,0,0,0,1,0,0,10,1,16
"2","Rafael","GOL","Cruzeiro","7,71",1,"10,50","0,00","0,00",0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0
"3","Gilberto","ATA","Bahia","12,28",2,"10,30","12,70","3,26",2,2,0,0,4,0,1,0,0,0,0,0,0,0,0,2,0,2
"4","Andrey","MEI","Vasco","8,14",7,"9,60","6,80","1,00",24,3,1,0,10,8,4,0,0,0,0,0,1,0,0,18,0,10
"5","Pedro Geromel","ZAG","Grêmio","16,22",5,"9,44","4,60","-1,86",22,0,0,3,2,3,0,0,0,0,0,0,1,0,0,2,0,4
"6","Gustavo Blanco","MEI","Atlético-MG","19,53",11,"8,86","0,00","0,00",51,0,4,0,4,5,10,3,0,0,0,0,4,0,0,20,1,25
"7","Pedro","ATA","Fluminense","17,81",12,"8,69","19,00","2,21",6,9,2,0,28,12,8,0,0,0,0,0,1,0,0,21,1,23
"8","Ronaldo","GOL","Vitória","4,03",1,"8,50","0,00","0,00",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"9","Rodolfo ","ATA","Paraná","6,06",1,"8,40","8,40","2,06",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"10","Lucas Paquetá","MEI","Flamengo","22,80",12,"8,36","10,90","0,52",35,4,1,0,31,6,13,1,0,0,0,0,3,0,0,19,0,42
"11","Yago Pikachu","LAT","Vasco","18,13",13,"8,22","8,30","1,13",12,5,1,2,43,9,16,1,0,0,0,0,1,0,0,5,6,32
"12","Kannemann","ZAG","Grêmio","14,18",9,"8,21","0,00","0,00",30,0,0,7,15,2,1,0,0,0,0,1,2,0,0,10,0,8
"13","Víctor Cuesta","ZAG","Internacional","17,92",12,"8,20","5,40","0,26",44,2,1,6,8,1,0,0,0,0,0,0,4,0,0,16,1,23
"14","Gatito Fernández","GOL","Botafogo","14,65",2,"8,05","0,00","0,00",0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,3
"15","Zé Rafael ","MEI","Bahia","20,72",14,"7,88","14,30","1,23",37,2,1,0,48,16,15,3,0,0,0,0,3,0,0,27,1,33
"16","Patrick","MEI","Internacional","17,89",12,"7,77","9,40","-1,12",43,3,2,0,15,7,5,0,0,0,0,0,3,0,0,20,0,28
"17","Thuler","ZAG","Flamengo","5,26",5,"7,72","0,00","0,00",9,1,0,4,2,1,0,0,0,0,0,0,1,0,0,3,0,4
"18","Evandro","LAT","Sport","3,86",1,"7,70","0,00","0,00",2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"19","Mena","LAT","Bahia","11,01",4,"7,62","0,00","0,00",7,1,0,2,1,1,1,1,0,0,0,0,0,0,0,1,0,10
"20","Everton","ATA","Grêmio","15,63",11,"7,25","4,20","-0,53",17,2,3,0,21,19,9,2,0,0,0,0,3,0,0,13,1,21
"21","Ricardo Oliveira","ATA","Atlético-MG","11,12",13,"7,22","0,70","-0,10",8,6,5,0,14,14,13,0,0,0,0,0,2,0,0,21,9,20
"22","Renê","LAT","Flamengo","13,70",13,"7,15","6,00","0,00",36,0,2,9,14,2,3,0,0,0,0,0,2,0,0,15,1,54
"23","Paulo Miranda","ZAG","Grêmio","8,37",3,"7,10","0,00","0,00",8,0,0,2,3,1,0,0,0,0,0,0,0,0,0,3,0,5
"24","Júnior","LAT","Paraná","8,37",10,"7,03","9,00","1,16",30,0,1,4,24,3,1,0,0,0,0,0,2,0,0,13,0,16
"25","Jonathas","ATA","Corinthians","8,31",2,"6,80","10,60","3,09",3,1,0,0,2,3,0,0,0,0,0,0,0,0,0,4,0,1
"26","Éder Militão","LAT","São Paulo","14,23",10,"6,80","7,90","-0,78",26,1,1,5,12,8,2,0,0,0,0,0,4,0,0,17,0,24
"27","Durval","ZAG","Sport","6,27",2,"6,75","0,00","0,00",2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Bruno Cortez","LAT","Grêmio","16,19",12,"6,61","0,00","0,00",26,0,0,10,19,0,1,0,0,0,0,0,1,0,0,18,0,31
"29","Thiago Rodrigues","GOL","Paraná","8,25",9,"6,57","4,70","0,20",0,0,0,4,1,0,0,0,15,1,0,0,0,0,6,1,0,3
"30","Rodrigo Caio","ZAG","São Paulo","12,76",2,"6,55","0,00","0,00",3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,3
"31","Matheus Fernandes","MEI","Botafogo","15,01",12,"6,55","6,70","-0,10",53,0,1,0,16,6,2,1,0,0,0,0,4,0,0,15,1,27
"32","Gilberto ","LAT","Fluminense","9,26",9,"6,53","0,00","0,00",16,2,2,3,14,5,2,0,0,0,0,1,1,0,0,10,1,24
"33","Nino Paraíba","LAT","Bahia","14,23",9,"6,53","0,00","0,00",28,0,1,3,14,3,3,0,0,0,0,0,2,0,0,10,0,24
"34","Willian","ATA","Palmeiras","10,89",13,"6,50","-1,50","-1,31",11,7,1,0,13,5,8,3,0,0,0,0,2,0,0,27,5,7
"35","Leonardo","LAT","Grêmio","2,90",2,"6,50","0,00","0,00",5,0,0,1,3,0,1,0,0,0,0,0,0,0,0,2,0,4
"36","Trauco","LAT","Flamengo","5,71",3,"6,47","0,00","0,00",4,0,2,1,1,0,1,0,0,0,0,0,0,0,0,3,0,6
"37","Barcos","ATA","Cruzeiro","10,71",2,"6,45","12,30","3,52",3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
"38","Egídio","LAT","Cruzeiro","10,60",9,"6,41","0,00","0,00",28,0,0,5,11,5,0,0,0,0,0,0,1,0,0,14,4,26
"39","Diego Alves","GOL","Flamengo","13,13",12,"6,34","5,40","0,68",0,0,0,8,3,0,0,0,17,0,0,0,1,0,5,0,0,15
"40","Bruno Henrique","MEI","Palmeiras","13,47",12,"6,33","20,50","3,41",34,3,2,0,23,7,1,1,0,0,0,0,3,0,0,34,0,25
"41","Neilton","ATA","Vitória","11,99",12,"6,19","1,10","-0,22",20,4,3,0,29,10,3,0,0,0,0,0,3,0,0,15,3,46
"42","Rodinei","LAT","Flamengo","13,73",14,"6,18","4,70","0,53",16,0,2,9,23,4,4,0,0,0,0,0,2,0,0,5,1,17
"43","Walter","GOL","Corinthians","8,96",7,"6,17","0,00","0,00",0,0,0,2,1,0,0,0,15,0,0,0,0,0,6,0,0,1
"44","Léo Moura","LAT","Grêmio","11,66",9,"6,13","1,90","-1,46",8,0,2,7,8,0,0,0,0,0,0,0,0,0,0,5,0,11
