"","Nome","Posição","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"1","Rafael","GOL","Cruzeiro","7,71",1,"10,50","0,00","0,00",0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0
"2","Andrey","MEI","Vasco","9,76",8,"10,24","14,70","1,62",33,3,1,0,10,11,4,0,0,0,0,0,1,0,0,18,0,14
"3","Gilberto","ATA","Bahia","12,66",3,"9,83","8,90","0,38",2,3,0,0,7,0,1,0,0,0,0,0,0,0,0,2,0,4
"4","Marcelo Cirino","ATA","Atlético-PR","7,22",1,"9,70","9,70","1,22",1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,2
"5","Arrascaeta","MEI","Cruzeiro","17,25",9,"9,15","4,20","0,45",17,3,3,0,20,11,9,1,0,0,0,0,1,0,0,10,1,24
"6","Gustavo Blanco","MEI","Atlético-MG","19,53",11,"8,86","0,00","0,00",51,0,4,0,4,5,10,3,0,0,0,0,4,0,0,20,1,25
"7","Yago Pikachu","LAT","Vasco","19,21",14,"8,69","14,80","1,08",13,6,1,2,48,11,17,1,0,0,0,0,1,0,0,5,6,32
"8","Pedro Geromel","ZAG","Grêmio","16,04",6,"8,48","0,00","0,00",25,0,0,3,3,3,0,0,0,0,0,0,1,0,0,4,0,5
"9","Lucas Paquetá","MEI","Flamengo","22,95",14,"8,22","12,60","1,64",38,5,1,0,33,10,14,1,0,0,0,0,3,0,0,23,0,46
"10","Víctor Cuesta","ZAG","Internacional","19,06",14,"8,16","12,50","1,52",52,2,1,7,13,1,0,0,0,0,0,0,5,0,0,18,1,25
"11","Everton","ATA","Grêmio","18,24",12,"8,12","0,00","0,00",19,4,3,0,22,20,9,2,0,0,0,0,3,0,0,16,2,23
"12","Gatito Fernández","GOL","Botafogo","14,65",2,"8,05","0,00","0,00",0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,3
"13","Ángel Romero","ATA","Corinthians","14,22",10,"8,01","23,90","1,89",13,6,2,0,41,9,2,0,0,0,0,0,5,0,0,15,1,32
"14","Lucas Kal","ZAG","São Paulo","5,17",1,"8,00","8,00","3,17",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Zé Rafael ","MEI","Bahia","20,72",14,"7,88","0,00","0,00",37,2,1,0,48,16,15,3,0,0,0,0,3,0,0,27,1,33
"16","Pedro","ATA","Fluminense","15,39",14,"7,77","4,50","0,54",7,9,2,0,31,15,9,0,0,0,0,0,1,0,0,23,2,25
"17","Patrick","MEI","Internacional","17,36",14,"7,73","5,00","-0,86",54,3,2,0,19,7,6,0,0,0,0,0,3,0,0,24,0,37
"18","Kannemann","ZAG","Grêmio","13,09",10,"7,73","0,00","0,00",34,0,0,7,18,2,1,0,0,0,0,1,3,0,0,13,0,10
"19","Thuler","ZAG","Flamengo","5,26",5,"7,72","0,00","0,00",9,1,0,4,2,1,0,0,0,0,0,0,1,0,0,3,0,4
"20","Evandro","LAT","Sport","3,86",1,"7,70","0,00","0,00",2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"21","Wesley Carvalho","TEC","Palmeiras","12,08",1,"7,60","7,60","0,76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Emerson Santos","ZAG","Internacional","3,65",1,"7,20","7,20","0,65",1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3
"23","Chará","ATA","Atlético-MG","12,04",4,"7,03","12,80","2,45",6,1,2,0,10,0,0,0,0,0,0,0,0,0,0,1,2,8
"24","Juninho Quixadá","ATA","Ceará","4,41",1,"7,00","7,00","1,41",1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1
"25","Leandro Carvalho","ATA","Ceará","6,26",2,"6,95","8,40","0,40",2,1,0,0,5,1,1,0,0,0,0,0,0,0,0,1,1,2
"26","Bruno Henrique","MEI","Palmeiras","13,54",14,"6,94","16,80","2,33",39,5,2,0,25,8,1,1,0,0,0,0,3,0,0,38,0,32
"27","Gilberto ","LAT","Fluminense","8,71",11,"6,91","0,30","-2,59",24,3,2,4,16,5,2,0,0,0,0,1,3,0,0,16,1,30
"28","Durval","ZAG","Sport","6,27",2,"6,75","0,00","0,00",2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","Ricardo Oliveira","ATA","Atlético-MG","11,91",15,"6,63","7,10","1,32",8,7,5,0,17,14,13,0,0,0,0,0,2,0,0,25,9,26
"30","Bruno Cortez","LAT","Grêmio","16,19",12,"6,61","0,00","0,00",26,0,0,10,19,0,1,0,0,0,0,0,1,0,0,18,0,31
"31","Rodrigo Caio","ZAG","São Paulo","12,76",2,"6,55","0,00","0,00",3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,3
"32","Renê","LAT","Flamengo","13,27",15,"6,55","4,50","0,45",40,0,2,9,15,2,3,0,0,0,0,0,2,0,0,16,1,56
"33","Nino Paraíba","LAT","Bahia","14,23",9,"6,53","0,00","0,00",28,0,1,3,14,3,3,0,0,0,0,0,2,0,0,10,0,24
"34","Willian","ATA","Palmeiras","12,66",15,"6,52","9,20","0,92",14,7,2,0,17,9,9,3,0,0,0,0,2,0,0,30,6,9
"35","Trauco","LAT","Flamengo","5,71",3,"6,47","0,00","0,00",4,0,2,1,1,0,1,0,0,0,0,0,0,0,0,3,0,6
"36","Éder Militão","LAT","São Paulo","13,26",11,"6,35","0,00","0,00",29,1,1,5,14,8,2,0,0,0,0,0,5,0,0,19,0,26
