"","Nome","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"1","Caio Monteiro (ATA)","Vasco","6,94",1,"16,10","16,10","3,94",1,1,1,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3
"2","Kelvin (ATA)","Vasco","8,52",1,"14,00","14,00","2,52",NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bruno Cosendey (MEI)","Vasco","6,20",1,"13,60","13,60","3,20",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"4","Lucas Paquetá (MEI)","Flamengo","23,82",4,"12,45","9,90","0,26",15,2,1,NA,15,3,4,NA,NA,NA,NA,NA,1,NA,NA,5,NA,13
"5","Everton (ATA)","Grêmio","16,92",3,"11,13","18,40","3,76",5,1,2,NA,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3
"6","Arthur (MEI)","Grêmio","19,17",3,"10,90","20,30","4,09",9,1,1,NA,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2
"7","Rodriguinho (MEI)","Corinthians","24,02",3,"10,80","0,00","0,00",2,3,1,NA,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,9
"8","Rafael (GOL)","Cruzeiro","7,71",1,"10,50","0,00","0,00",NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"9","Gustavo Blanco (MEI)","Atlético-MG","18,46",4,"10,22","5,70","-0,19",18,NA,3,NA,1,1,3,2,NA,NA,NA,NA,2,NA,NA,12,1,5
"10","Otero (MEI)","Atlético-MG","18,86",4,"9,10","0,80","-1,20",5,1,NA,NA,12,5,7,3,NA,NA,NA,NA,NA,NA,NA,5,2,10
"11","Maicon (MEI)","Grêmio","11,64",3,"8,83","23,20","5,89",6,2,NA,NA,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,5
"12","Éder Militão (LAT)","São Paulo","14,44",3,"8,83","0,00","0,00",8,1,NA,2,2,2,NA,NA,NA,NA,NA,NA,1,NA,NA,4,NA,7
