"","Nome","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"1","Andrey (MEI)","Vasco","9,76",8,"10,24","14,70","1,62",33,3,1,0,10,11,4,0,0,0,0,0,1,0,0,18,0,14
"2","Gilberto (ATA)","Bahia","12,66",3,"9,83","8,90","0,38",2,3,0,0,7,0,1,0,0,0,0,0,0,0,0,2,0,4
"3","Marcelo Cirino (ATA)","Atlético-PR","7,22",1,"9,70","9,70","1,22",1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,2
"4","Arrascaeta (MEI)","Cruzeiro","17,25",9,"9,15","4,20","0,45",17,3,3,0,20,11,9,1,0,0,0,0,1,0,0,10,1,24
"5","Yago Pikachu (LAT)","Vasco","19,21",14,"8,69","14,80","1,08",13,6,1,2,48,11,17,1,0,0,0,0,1,0,0,5,6,32
"6","Lucas Paquetá (MEI)","Flamengo","22,95",14,"8,22","12,60","1,64",38,5,1,0,33,10,14,1,0,0,0,0,3,0,0,23,0,46
"7","Víctor Cuesta (ZAG)","Internacional","19,06",14,"8,16","12,50","1,52",52,2,1,7,13,1,0,0,0,0,0,0,5,0,0,18,1,25
"8","Ángel Romero (ATA)","Corinthians","14,22",10,"8,01","23,90","1,89",13,6,2,0,41,9,2,0,0,0,0,0,5,0,0,15,1,32
"9","Zé Rafael  (MEI)","Bahia","20,72",14,"7,88","0,00","0,00",37,2,1,0,48,16,15,3,0,0,0,0,3,0,0,27,1,33
"10","Pedro (ATA)","Fluminense","15,39",14,"7,77","4,50","0,54",7,9,2,0,31,15,9,0,0,0,0,0,1,0,0,23,2,25
"11","Patrick (MEI)","Internacional","17,36",14,"7,73","5,00","-0,86",54,3,2,0,19,7,6,0,0,0,0,0,3,0,0,24,0,37
"12","Wesley Carvalho (TEC)","Palmeiras","12,08",1,"7,60","7,60","0,76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Emerson Santos (ZAG)","Internacional","3,65",1,"7,20","7,20","0,65",1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3
"14","Chará (ATA)","Atlético-MG","12,04",4,"7,03","12,80","2,45",6,1,2,0,10,0,0,0,0,0,0,0,0,0,0,1,2,8
