"","Nome","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"377","Rayan (ZAG)","Paraná","3,05",12,"1,88","0,00","0,00",18,0,0,1,12,5,1,0,0,0,0,0,4,0,0,16,2,12
"378","Bruno Henrique (ATA)","Santos","9,56",13,"1,88","0,00","0,00",11,1,1,0,18,12,2,0,0,0,1,0,2,0,0,21,3,17
"379","Shaylon (MEI)","São Paulo","3,00",6,"1,88","0,00","-1,12",0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,5,1,5
"380","Edílson (LAT)","Cruzeiro","6,89",9,"1,85","0,00","0,00",12,0,0,3,7,4,2,0,0,0,0,0,6,0,0,10,0,28
"381","Mateus Norton (MEI)","Fluminense","2,49",6,"1,85","0,70","-0,53",12,0,0,0,4,1,1,0,0,0,0,0,1,0,0,7,0,18
"382","Pedrinho (MEI)","Corinthians","3,32",17,"1,85","0,90","-0,33",11,0,1,0,27,12,10,0,0,0,0,0,1,0,0,14,2,50
"383","Ruy (MEI)","América-MG","4,04",13,"1,82","0,20","0,09",3,1,1,0,19,4,4,1,0,0,0,0,0,0,0,3,0,43
"384","Allione (MEI)","Bahia","4,31",8,"1,82","0,00","0,00",1,1,1,0,5,0,2,0,0,0,0,0,0,0,0,6,0,6
"385","Murilo (ZAG)","Cruzeiro","6,17",4,"1,82","-1,10","-0,21",6,0,0,1,0,0,1,0,0,0,0,0,1,0,0,7,0,8
"386","Ricardo (ZAG)","Vasco","4,55",11,"1,78","5,00","0,58",13,0,0,3,8,0,1,0,0,0,0,0,5,0,0,11,2,12
"387","Terans (MEI)","Atlético-MG","4,08",5,"1,76","0,00","0,00",4,0,1,0,4,3,1,0,0,0,0,0,1,0,0,8,0,6
"388","Thaciano (MEI)","Grêmio","2,48",9,"1,73","0,00","0,00",7,1,0,0,3,2,5,0,0,0,0,0,2,0,0,11,2,5
"389","Judivan  (ATA)","América-MG","2,55",9,"1,72","0,00","0,00",3,0,1,0,6,4,6,0,0,0,0,0,0,0,0,10,1,6
"390","Jesiel (ZAG)","Atlético-MG","3,27",8,"1,71","0,00","0,00",11,0,0,1,3,1,1,0,0,0,0,0,2,0,0,8,0,11
"391","Willian Arão (MEI)","Flamengo","3,68",7,"1,70","0,00","0,00",9,0,1,0,0,1,1,0,0,0,0,0,1,0,0,8,1,7
"392","Lucas Silva (MEI)","Cruzeiro","4,37",12,"1,70","0,00","-0,13",22,0,0,0,13,7,0,0,0,0,0,0,3,0,0,23,0,24
"393","Amaral (MEI)","Chapecoense","3,85",12,"1,70","0,00","0,00",19,0,0,0,5,2,3,0,0,0,0,0,1,0,0,19,1,13
"394","Miranda (ZAG)","Vasco","1,21",1,"1,70","0,00","0,00",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"395","Thiaguinho (MEI)","Corinthians","2,65",1,"1,70","0,00","0,00",2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,6
"396","Marcelo Benítez (LAT)","Vitória","3,37",2,"1,70","0,80","-0,27",5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,7
"397","Carlos (ATA)","Paraná","5,56",15,"1,69","0,00","0,00",13,1,0,0,19,9,6,0,0,0,0,0,4,0,0,16,11,15
"398","Nathan (MEI)","Atlético-MG","4,32",4,"1,68","0,70","-0,11",4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,13
"399","Marcos Vinícius (MEI)","Botafogo","3,80",4,"1,67","0,00","0,00",3,0,0,0,5,3,0,1,0,0,0,0,1,0,0,2,0,9
"400","Renato (MEI)","Santos","6,43",10,"1,66","0,00","0,00",7,1,0,0,9,2,2,0,0,0,0,0,1,0,0,4,2,18
"401","Yago (MEI)","Vitória","8,28",15,"2,36","-0,80","-0,80",17,1,0,0,36,12,5,0,0,0,0,1,4,0,0,19,1,29
"402","Werley (ZAG)","Vasco","5,87",6,"2,35","0,00","0,00",9,0,0,1,5,3,2,0,0,0,1,0,0,0,0,8,0,9
"403","Carlos Sánchez (MEI)","Santos","10,18",2,"2,35","0,00","0,00",3,0,0,0,8,2,0,0,0,0,0,0,0,0,0,6,0,8
"404","Alisson (MEI)","Grêmio","6,81",7,"2,34","3,60","0,51",5,0,0,0,10,5,4,0,0,0,0,0,0,0,0,2,0,13
"405","Neto Moura (MEI)","Sport","4,81",10,"2,33","0,00","0,00",13,0,0,0,10,3,3,0,0,0,0,0,1,0,0,8,0,4
"406","Márcio Araújo (MEI)","Chapecoense","5,35",17,"2,32","0,00","0,00",30,0,0,0,17,3,2,0,0,0,0,0,1,0,0,15,0,31
"407","Jeferson (LAT)","Vitória","4,93",16,"2,32","1,60","-0,36",24,0,1,3,14,2,1,0,0,0,0,0,4,0,0,19,1,35
"408","Igor (LAT)","Paraná","2,89",10,"2,31","0,00","0,00",14,0,0,2,4,8,0,0,0,0,0,0,3,0,0,7,1,21
"409","Edinho (ATA)","Atlético-MG","3,36",1,"2,30","0,00","0,00",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"410","Léo Ceará (ATA)","Vitória","2,57",1,"2,30","2,30","0,57",0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0
"411","Pedro Henrique (ZAG)","Corinthians","5,02",10,"2,30","-0,30","-0,39",12,0,0,3,8,3,1,0,0,0,0,0,4,0,0,10,0,15
